"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","CoverageTimeline_T1","CoverageTimeline_T2","CoverageTimeline_T3","CoverageTimeline_T4","CoverageTimeline_T5","CoverageTimeline_T6","CoverageTimeline_T7","CoverageTimeline_T8","CoverageTimeline_T9","CoverageTimeline_T10","CoverageTimeline_T11","CoverageTimeline_T12","CoverageTimeline_T13","CoverageTimeline_T14","CoverageTimeline_T15","CoverageTimeline_T16","CoverageTimeline_T17","CoverageTimeline_T18","CoverageTimeline_T19","CoverageTimeline_T20","CoverageTimeline_T21","CoverageTimeline_T22","CoverageTimeline_T23","CoverageTimeline_T24","CoverageTimeline_T25","CoverageTimeline_T26","CoverageTimeline_T27","CoverageTimeline_T28","CoverageTimeline_T29","CoverageTimeline_T30","CoverageTimeline_T31","CoverageTimeline_T32","CoverageTimeline_T33","CoverageTimeline_T34","CoverageTimeline_T35","CoverageTimeline_T36","CoverageTimeline_T37","CoverageTimeline_T38","CoverageTimeline_T39","CoverageTimeline_T40","CoverageTimeline_T41","CoverageTimeline_T42","CoverageTimeline_T43","CoverageTimeline_T44","CoverageTimeline_T45","CoverageTimeline_T46","CoverageTimeline_T47","CoverageTimeline_T48","CoverageTimeline_T49","CoverageTimeline_T50","CoverageTimeline_T51","CoverageTimeline_T52","CoverageTimeline_T53","CoverageTimeline_T54","CoverageTimeline_T55","CoverageTimeline_T56","CoverageTimeline_T57","CoverageTimeline_T58","CoverageTimeline_T59","CoverageTimeline_T60","CoverageTimeline_T61","CoverageTimeline_T62","CoverageTimeline_T63","CoverageTimeline_T64","CoverageTimeline_T65","CoverageTimeline_T66","CoverageTimeline_T67","CoverageTimeline_T68","CoverageTimeline_T69","CoverageTimeline_T70","CoverageTimeline_T71","CoverageTimeline_T72","CoverageTimeline_T73","CoverageTimeline_T74","CoverageTimeline_T75","CoverageTimeline_T76","CoverageTimeline_T77","CoverageTimeline_T78","CoverageTimeline_T79","CoverageTimeline_T80","CoverageTimeline_T81","CoverageTimeline_T82","CoverageTimeline_T83","CoverageTimeline_T84","CoverageTimeline_T85","CoverageTimeline_T86","CoverageTimeline_T87","CoverageTimeline_T88","CoverageTimeline_T89","CoverageTimeline_T90","CoverageTimeline_T91","CoverageTimeline_T92","CoverageTimeline_T93","CoverageTimeline_T94","CoverageTimeline_T95","CoverageTimeline_T96","CoverageTimeline_T97","CoverageTimeline_T98","CoverageTimeline_T99","CoverageTimeline_T100","CoverageTimeline_T101","CoverageTimeline_T102","CoverageTimeline_T103","CoverageTimeline_T104","CoverageTimeline_T105","CoverageTimeline_T106","CoverageTimeline_T107","CoverageTimeline_T108","CoverageTimeline_T109","CoverageTimeline_T110","CoverageTimeline_T111","CoverageTimeline_T112","CoverageTimeline_T113","CoverageTimeline_T114","CoverageTimeline_T115","CoverageTimeline_T116","CoverageTimeline_T117","CoverageTimeline_T118","CoverageTimeline_T119","CoverageTimeline_T120","PassingSize","PassingLength"
"Static_and_Dynamic","docstring_parser.numpydoc","1615760644311335887","110","122912089171","0.6794871794871795","13","217","9","167","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.4860143427830369","0.48717948717948717","0.48717948717948717","0.5051686679466375","0.5028818931319609","0.5228649820476207","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.5377732351634741","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5690471998727963","0.5769230769230769","0.5769230769230769","0.5769230769230769","0.5769230769230769","0.5770559411122449","0.624644441136057","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6370029592838934","0.6410256410256411","0.6410256410256411","0.6499714102645694","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6538461538461539","0.6608663685112441","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.673566069566493","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","0.6794871794871795","4","50"
"Initial","docstring_parser.parser","1615760763333697470","382","121232797710","0.2727272727272727","3","8","3","8","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0","0"
"All","docstring_parser.styles","1615760852129104487","0","8804614393","1.0","7","7","7","7","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0","0"
"Static","docstring_parser.styles","1615760502606078577","0","7980321775","1.0","2","2","2","2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0","0"
"Baseline","docstring_parser.rest","1615760439038363130","241","121385934001","0.5333333333333333","5","73","2","39","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5111111111111111","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.5333333333333333","3","34"
"Baseline","docstring_parser.styles","1615760438532393788","0","7811866908","1.0","8","8","8","8","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0","0"
"All","docstring_parser.common","1615760860974740004","220","121641701250","0.3888888888888889","5","67","0","0","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","5","67"
"Static","docstring_parser.common","1615760497629651867","202","121510865486","0.3888888888888889","2","51","0","0","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.3888888888888889","2","51"
"All","docstring_parser.numpydoc","1615760861868407877","133","121954423953","0.6410256410256411","15","210","11","129","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.47435897435897434","0.4800876201822783","0.5128205128205128","0.5128205128205128","0.5134203978281487","0.5256410256410257","0.5256410256410257","0.5256410256410257","0.5479919687422774","0.5497679864860288","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.5541783821276833","0.5641025641025641","0.5466003657288984","0.5384615384615384","0.5499328101244264","0.5542244446792127","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5641025641025641","0.5769763303940221","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6025641025641025","0.6050336473302823","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.6282051282051282","0.637556718373669","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","0.6410256410256411","4","81"
"All","docstring_parser.parser","1615760852206074005","220","121581674034","0.2727272727272727","10","26","10","26","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0.2727272727272727","0","0"
