"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_8","apimd.compiler","1615571334074654432","106","124399092856","0.27860696517412936","19","152","19","152","0","0"
"Seed_Prob_0_7","apimd.compiler","1615571231336991347","151","122066261824","0.5621890547263682","17","176","17","176","0","0"
"Seed_Prob_0_1","apimd.compiler","1615570463952318000","110","123504101374","0.25870646766169153","20","138","19","136","1","2"
"Seed_Prob_0_3","apimd.compiler","1615570718237427124","155","124467264650","0.2885572139303483","17","157","14","93","3","64"
"Seed_Prob_0_5","apimd.compiler","1615570945593158311","142","122468402563","0.5422885572139303","17","147","16","135","1","12"
"Seed_Prob_0_9","apimd.compiler","1615571449822889896","128","122350680868","0.25870646766169153","17","131","17","131","0","0"
"Seed_Prob_0_6","apimd.compiler","1615571110728741109","118","123117737743","0.263681592039801","19","154","19","154","0","0"
"Seed_Prob_0_0","apimd.compiler","1615570389317973891","120","122134764794","0.263681592039801","19","153","17","131","2","22"
"Seed_Prob_0_2","apimd.compiler","1615570587732195157","112","122751291753","0.263681592039801","19","114","17","110","2","4"
"Seed_Prob_0_4","apimd.compiler","1615570823751231890","122","121984645948","0.24378109452736318","17","131","17","131","0","0"
