"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_6","codetiming._timers","1615566525826505975","189","121241464519","0.8529411764705882","12","87","10","72","2","15"
"Seed_Prob_0_5","codetiming._timers","1615566401677551971","203","122676157430","0.8529411764705882","13","79","11","62","2","17"
"Seed_Prob_0_9","codetiming._timer","1615566923522945283","10","12173029041","1.0","6","55","6","55","0","0"
"Seed_Prob_0_3","codetiming._timers","1615566127004591940","183","122217253607","0.8529411764705882","10","70","10","70","0","0"
"Seed_Prob_0_2","codetiming._timers","1615566020926148782","199","122386427600","0.8529411764705882","11","105","10","99","1","6"
"Seed_Prob_0_7","codetiming._timers","1615566655130705149","168","123023012570","0.8529411764705882","11","83","11","83","0","0"
"Seed_Prob_0_1","codetiming._timer","1615565886811883937","1","7947054673","1.0","10","80","10","80","0","0"
"Seed_Prob_0_6","codetiming._timer","1615566526003626192","4","9747749869","1.0","7","47","5","35","2","12"
"Seed_Prob_0_2","codetiming._timer","1615566017599439126","6","12389403360","1.0","5","48","4","43","1","5"
"Seed_Prob_0_8","codetiming._timers","1615566757075357382","201","122107654685","0.8529411764705882","11","92","11","92","0","0"
"Seed_Prob_0_4","codetiming._timers","1615566246904535457","185","121495340441","0.8529411764705882","11","78","8","47","3","31"
"Seed_Prob_0_0","codetiming._timer","1615565844882775647","13","14316592350","1.0","9","90","8","83","1","7"
"Seed_Prob_0_1","codetiming._timers","1615565887816919525","202","122584062348","0.8529411764705882","10","79","9","77","1","2"
"Seed_Prob_0_7","codetiming._timer","1615566651602100335","7","12853888307","1.0","9","81","9","81","0","0"
"Seed_Prob_0_4","codetiming._timer","1615566259972955891","7","12099483824","1.0","8","59","8","59","0","0"
"Seed_Prob_0_0","codetiming._timers","1615565816247435747","207","121746289477","0.8235294117647058","11","75","11","75","0","0"
"Seed_Prob_0_8","codetiming._timer","1615566756292429909","9","11608458509","1.0","6","81","5","70","1","11"
"Seed_Prob_0_5","codetiming._timer","1615566401454693864","9","15641938886","1.0","8","91","8","91","0","0"
"Seed_Prob_0_9","codetiming._timers","1615566926364021852","160","122834004734","0.8529411764705882","14","104","13","98","1","6"
"Seed_Prob_0_3","codetiming._timer","1615566127248413016","58","47947968406","1.0","9","110","9","110","0","0"
