"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_3","docstring_parser.styles","1615566181281296628","0","7092210784","1.0","3","3","3","3","0","0"
"Seed_Prob_0_1","docstring_parser.rest","1615565885602125314","132","122662526948","0.6888888888888889","12","221","2","8","10","213"
"Seed_Prob_0_1","docstring_parser.styles","1615565883792515796","0","7599623714","1.0","6","6","6","6","0","0"
"Seed_Prob_0_3","docstring_parser.rest","1615566180130210364","129","125247627197","0.6888888888888889","11","217","4","56","7","161"
"Seed_Prob_0_5","docstring_parser.styles","1615566451806041685","0","8426513981","1.0","2","2","2","2","0","0"
"Seed_Prob_0_7","docstring_parser.styles","1615566699701241363","0","8541220253","1.0","1","1","1","1","0","0"
"Seed_Prob_0_9","docstring_parser.numpydoc","1615566950238630475","129","122517211746","0.6794871794871795","11","174","10","146","1","28"
"Seed_Prob_0_5","docstring_parser.rest","1615566396752971860","133","122043209596","0.6888888888888889","10","190","3","38","7","152"
"Seed_Prob_0_7","docstring_parser.rest","1615566687419664245","164","121952573931","0.6888888888888889","9","145","3","16","6","129"
"Seed_Prob_0_7","docstring_parser.google","1615566696186022416","183","122710939920","0.4090909090909091","10","55","10","55","0","0"
"Seed_Prob_0_2","docstring_parser.rest","1615566060850449972","134","122928919648","0.6888888888888889","9","190","2","28","7","162"
"Seed_Prob_0_2","docstring_parser.numpydoc","1615566067681393163","138","122327203095","0.6794871794871795","13","176","10","126","3","50"
"Seed_Prob_0_8","docstring_parser.google","1615566801210693814","216","121739168290","0.3977272727272727","9","45","9","45","0","0"
"Seed_Prob_0_3","docstring_parser.google","1615566188346069534","192","121702460702","0.3068181818181818","11","60","10","52","1","8"
"Seed_Prob_0_8","docstring_parser.parser","1615566794674811816","222","121927618658","0.2727272727272727","9","22","9","22","0","0"
"Seed_Prob_0_6","docstring_parser.parser","1615566535508326055","203","121322244600","0.2727272727272727","10","23","10","23","0","0"
"Seed_Prob_0_6","docstring_parser.google","1615566535509016894","207","121775655498","0.3977272727272727","11","55","10","50","1","5"
"Seed_Prob_0_5","docstring_parser.parser","1615566396752825137","212","121371728450","0.2727272727272727","7","15","7","15","0","0"
"Seed_Prob_0_7","docstring_parser.parser","1615566688590456171","283","121322220171","0.2727272727272727","6","13","6","13","0","0"
"Seed_Prob_0_9","docstring_parser.google","1615566952844899990","227","122395721605","0.3977272727272727","10","55","10","55","0","0"
"Seed_Prob_0_4","docstring_parser.parser","1615566300550423357","269","121373232175","0.2727272727272727","7","17","7","17","0","0"
"Seed_Prob_0_4","docstring_parser.google","1615566300552058844","176","122084420989","0.3181818181818182","11","59","11","59","0","0"
"Seed_Prob_0_5","docstring_parser.common","1615566432211181278","121","121724533196","0.3888888888888889","6","150","0","0","6","150"
"Seed_Prob_0_7","docstring_parser.common","1615566688874953217","200","121226322443","0.3888888888888889","8","99","0","0","8","99"
"Seed_Prob_0_0","docstring_parser.google","1615565856999193518","218","122083628728","0.3068181818181818","7","37","6","32","1","5"
"Seed_Prob_0_3","docstring_parser.parser","1615566177465422248","155","121380882487","0.2727272727272727","10","24","10","24","0","0"
"Seed_Prob_0_1","docstring_parser.common","1615565885481239683","177","121626722883","0.3888888888888889","10","129","0","0","10","129"
"Seed_Prob_0_0","docstring_parser.parser","1615565850919262950","203","122284370252","0.2727272727272727","10","25","10","25","0","0"
"Seed_Prob_0_1","docstring_parser.parser","1615565885600588076","232","121466751353","0.2727272727272727","8","21","8","21","0","0"
"Seed_Prob_0_3","docstring_parser.common","1615566180234808842","133","125123470708","0.3888888888888889","10","196","0","0","10","196"
"Seed_Prob_0_3","docstring_parser.numpydoc","1615566188345751116","125","122467694014","0.6923076923076923","9","185","8","147","1","38"
"Seed_Prob_0_2","docstring_parser.styles","1615566051357909655","0","10485797057","1.0","4","4","4","4","0","0"
"Seed_Prob_0_2","docstring_parser.common","1615566048233143285","216","121493675533","0.3888888888888889","4","55","0","0","4","55"
"Seed_Prob_0_7","docstring_parser.numpydoc","1615566693735596417","116","123508690627","0.6794871794871795","12","173","11","142","1","31"
"Seed_Prob_0_6","docstring_parser.common","1615566533869351420","138","121525108941","0.3888888888888889","4","108","0","0","4","108"
