"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_3","flutes.exception","1615558620187279142","238","121898278514","0.1346153846153846","1","21","0","0","1","21"
"Seed_Prob_0_3","flutes.iterator","1615558631905090544","166","122227023635","0.3983050847457627","15","128","13","111","2","17"
"Seed_Prob_0_6","flutes.structure","1615558987353828378","219","122553841831","0.43661971830985913","9","75","9","75","0","0"
"Seed_Prob_0_8","flutes.run","1615559271109867977","409","123267269751","0.1","1","5","1","5","0","0"
"Seed_Prob_0_9","flutes.structure","1615559400160232419","261","124680973712","0.4084507042253521","9","85","9","85","0","0"
"Seed_Prob_0_5","flutes.structure","1615558886257772099","195","121627183019","0.4507042253521127","8","84","8","84","0","0"
"Seed_Prob_0_3","flutes.timing","1615558625087602510","275","121398468856","0.5","1","22","0","0","1","22"
"Seed_Prob_0_1","flutes.iterator","1615558375456949072","168","126200397847","0.3728813559322034","14","92","13","85","1","7"
"Seed_Prob_0_9","flutes.timing","1615559399732382301","192","123246824551","0.5","4","92","0","0","4","92"
"Seed_Prob_0_5","flutes.timing","1615558886260221448","177","121603495599","0.5","3","91","0","0","3","91"
"Seed_Prob_0_3","flutes.structure","1615558601606362301","202","121780724604","0.43661971830985913","10","92","9","81","1","11"
"Seed_Prob_0_1","flutes.exception","1615558383495526554","144","122865024482","0.1346153846153846","3","82","0","0","3","82"
"Seed_Prob_0_2","flutes.structure","1615558501989842582","242","121549037441","0.43661971830985913","9","81","8","71","1","10"
"Seed_Prob_0_7","flutes.structure","1615559115284363513","192","122022042835","0.4507042253521127","12","83","12","83","0","0"
"Seed_Prob_0_0","flutes.math","1615558339260287306","0","13513391362","1.0","7","97","4","57","3","40"
"Seed_Prob_0_5","flutes.io","1615558872394198382","249","126411954055","0.16417910447761194","4","30","4","30","0","0"
"Seed_Prob_0_4","flutes.iterator","1615558760869277368","164","122504047146","0.3728813559322034","16","108","16","108","0","0"
"Seed_Prob_0_0","flutes.timing","1615558334712217919","138","124532278353","0.5","7","143","0","0","7","143"
"Seed_Prob_0_9","flutes.io","1615559372594386633","164","122872636398","0.16417910447761194","7","72","7","72","0","0"
"Seed_Prob_0_7","flutes.timing","1615559098106844365","375","121360122051","0.5","3","27","0","0","3","27"
"Seed_Prob_0_4","flutes.run","1615558741689890346","277","121446147965","0.1","3","23","3","23","0","0"
"Seed_Prob_0_8","flutes.math","1615559264567598790","0","9399146042","1.0","7","115","5","62","2","53"
"Seed_Prob_0_7","flutes.exception","1615559090005165569","118","122529253802","0.1346153846153846","9","221","0","0","9","221"
"Seed_Prob_0_8","flutes.timing","1615559260847478048","488","121393002148","0.5","1","5","0","0","1","5"
"Seed_Prob_0_7","flutes.iterator","1615559096895196921","173","124331071550","0.4322033898305085","14","95","13","84","1","11"
"Seed_Prob_0_2","flutes.run","1615558486089338581","187","121818688881","0.1","8","49","8","49","0","0"
"Seed_Prob_0_9","flutes.math","1615559400161531588","0","9055747768","1.0","10","61","7","39","3","22"
"Seed_Prob_0_5","flutes.math","1615558886256001810","0","10200401819","1.0","1","3","1","3","0","0"
"Seed_Prob_0_3","flutes.math","1615558624525584693","0","6998187456","1.0","3","26","1","8","2","18"
"Seed_Prob_0_6","flutes.timing","1615559008808717728","159","123333095204","0.5","2","71","0","0","2","71"
