"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_0","flutils.namedtupleutils","1615570421944855544","221","121346606429","0.5263157894736842","7","38","6","31","1","7"
"Seed_Prob_0_1","flutils.validators","1615570486056421772","215","122085760867","0.9565217391304348","8","40","8","40","0","0"
"Seed_Prob_0_2","flutils.namedtupleutils","1615570636375266898","226","121312071879","0.5263157894736842","5","21","4","17","1","4"
"Seed_Prob_0_2","flutils.codecs.b64","1615570636234974956","219","121181006450","0.8461538461538461","8","46","7","42","1","4"
"Seed_Prob_0_5","flutils.packages","1615570998137836517","222","122597831307","0.07142857142857142","8","14","8","14","0","0"
"Seed_Prob_0_5","flutils.namedtupleutils","1615570999379071573","230","121767894061","0.5263157894736842","8","49","7","42","1","7"
"Seed_Prob_0_7","flutils.objutils","1615571257872784256","112","123816456113","0.48484848484848486","3","102","0","0","3","102"
"Seed_Prob_0_1","flutils.packages","1615570485667914444","320","122386121638","0.07142857142857142","6","10","6","10","0","0"
"Seed_Prob_0_7","flutils.setuputils.cmd","1615571246082065593","206","121218700311","0.058823529411764705","9","10","9","10","0","0"
"Seed_Prob_0_1","flutils.namedtupleutils","1615570477841253772","177","121699968573","0.5263157894736842","9","51","8","20","1","31"
"Seed_Prob_0_8","flutils.objutils","1615571388169905419","117","122264851814","0.48484848484848486","8","203","0","0","8","203"
"Seed_Prob_0_7","flutils.strutils","1615571252373787975","146","122705327190","0.9545454545454546","8","119","3","39","5","80"
"Seed_Prob_0_3","flutils.validators","1615570742808248872","13","12854657681","1.0","9","52","9","52","0","0"
"Seed_Prob_0_4","flutils.codecs.raw_utf8_escape","1615570858989274886","143","121489697141","0.782608695652174","10","82","10","82","0","0"
"Seed_Prob_0_3","flutils.strutils","1615570751662153108","161","122003516171","0.9545454545454546","7","124","4","62","3","62"
"Seed_Prob_0_7","flutils.validators","1615571257530728022","14","17101810030","1.0","9","64","9","64","0","0"
"Seed_Prob_0_4","flutils.pathutils","1615570859245212878","140","121809190993","0.35384615384615387","13","37","13","37","0","0"
"Seed_Prob_0_4","flutils.packages","1615570853404480938","263","122019204441","0.07142857142857142","8","12","8","12","0","0"
"Seed_Prob_0_3","flutils.objutils","1615570741130823113","128","123411184827","0.48484848484848486","8","171","0","0","8","171"
"Seed_Prob_0_6","flutils.setuputils.cmd","1615571090062815813","209","121298225846","0.058823529411764705","10","11","10","11","0","0"
"Seed_Prob_0_8","flutils.strutils","1615571377905939438","159","121604837042","0.9545454545454546","10","155","3","61","7","94"
"Seed_Prob_0_6","flutils.decorators","1615571134485221515","337","121688784552","0.7","6","35","4","19","2","16"
"Seed_Prob_0_3","flutils.setuputils.cmd","1615570750851361048","268","121632182048","0.058823529411764705","5","6","5","6","0","0"
"Seed_Prob_0_8","flutils.setuputils.cfg","1615571377761664750","417","121465815944","0.03773584905660377","2","4","2","4","0","0"
"Seed_Prob_0_6","flutils.namedtupleutils","1615571089580788727","165","121524236454","0.5263157894736842","10","60","9","54","1","6"
"Seed_Prob_0_0","flutils.moduleutils","1615570411942490558","208","121794519826","0.2426470588235294","10","31","10","31","0","0"
"Seed_Prob_0_2","flutils.moduleutils","1615570636235230629","194","121597196256","0.25","12","39","12","39","0","0"
"Seed_Prob_0_9","flutils.namedtupleutils","1615571500314429440","217","121845400764","0.5263157894736842","10","61","7","24","3","37"
"Seed_Prob_0_9","flutils.validators","1615571498750512136","75","50378805817","1.0","9","47","9","47","0","0"
"Seed_Prob_0_9","flutils.packages","1615571486970915932","249","121702544954","0.07142857142857142","4","9","4","9","0","0"
"Seed_Prob_0_3","flutils.txtutils","1615570742809096648","269","122609440866","0.16666666666666666","2","18","2","18","0","0"
"Seed_Prob_0_7","flutils.setuputils.cfg","1615571252229706248","224","121448811658","0.03773584905660377","8","15","8","15","0","0"
"Seed_Prob_0_7","flutils.moduleutils","1615571246192195550","185","121746934537","0.25","12","40","12","40","0","0"
"Seed_Prob_0_8","flutils.txtutils","1615571388168045866","168","121574565318","0.17543859649122806","6","50","5","46","1","4"
"Seed_Prob_0_8","flutils.validators","1615571388170534908","40","23571622654","1.0","10","47","8","36","2","11"
"Seed_Prob_0_7","flutils.pathutils","1615571257872785573","174","122898827701","0.2692307692307692","14","48","14","48","0","0"
"Seed_Prob_0_1","flutils.codecs.b64","1615570486055796390","217","121919545501","0.7692307692307693","8","70","8","70","0","0"
"Seed_Prob_0_5","flutils.codecs.raw_utf8_escape","1615570975230426290","180","121725955067","0.782608695652174","10","87","9","72","1","15"
"Seed_Prob_0_2","flutils.pathutils","1615570636667847413","114","122750742802","0.5076923076923077","18","61","18","61","0","0"
"Seed_Prob_0_5","flutils.codecs.b64","1615570998138458536","284","122299859334","0.8461538461538461","4","22","4","22","0","0"
"Seed_Prob_0_2","flutils.packages","1615570632960715437","229","122545283652","0.07142857142857142","10","21","10","21","0","0"
"Seed_Prob_0_0","flutils.packages","1615570421408666531","310","121523325833","0.07142857142857142","7","17","7","17","0","0"
"Seed_Prob_0_1","flutils.txtutils","1615570477341316095","122","121967548946","0.15789473684210525","10","94","10","94","0","0"
"Seed_Prob_0_9","flutils.codecs.b64","1615571486025547260","282","121378360563","0.8461538461538461","7","50","7","50","0","0"
"Seed_Prob_0_9","flutils.txtutils","1615571495237397392","223","121931432082","0.15789473684210525","4","45","4","45","0","0"
"Seed_Prob_0_6","flutils.strutils","1615571134485334630","268","122000042188","0.9545454545454546","6","61","0","0","6","61"
"Seed_Prob_0_8","flutils.setuputils.cmd","1615571376333564510","237","121474704868","0.058823529411764705","10","13","10","13","0","0"
"Seed_Prob_0_6","flutils.packages","1615571089797514790","261","121590901883","0.07142857142857142","10","22","10","22","0","0"
"Seed_Prob_0_4","flutils.namedtupleutils","1615570859245296380","211","121499312475","0.5263157894736842","9","61","7","55","2","6"
"Seed_Prob_0_3","flutils.pathutils","1615570734722042194","195","122197152008","0.5076923076923077","13","61","13","61","0","0"
"Seed_Prob_0_6","flutils.setuputils.cfg","1615571135990697397","438","121173320365","0.03773584905660377","2","3","2","3","0","0"
"Seed_Prob_0_8","flutils.decorators","1615571377757223184","169","121226992232","0.7","9","74","8","69","1","5"
"Seed_Prob_0_4","flutils.codecs.b64","1615570859258297562","149","121337583402","0.7692307692307693","9","57","9","57","0","0"
"Seed_Prob_0_3","flutils.setuputils.cfg","1615570751661201976","503","121640376424","0.03773584905660377","1","2","1","2","0","0"
"Seed_Prob_0_6","flutils.pathutils","1615571105209236068","165","122192793873","0.4846153846153846","16","63","14","59","2","4"
"Seed_Prob_0_2","flutils.setuputils.cfg","1615570645119204459","330","122997546219","0.03773584905660377","8","11","8","11","0","0"
"Seed_Prob_0_2","flutils.strutils","1615570624768201590","117","122178661332","0.9545454545454546","8","169","4","72","4","97"
"Seed_Prob_0_9","flutils.pathutils","1615571486864927404","121","121820476423","0.34615384615384615","16","101","15","99","1","2"
"Seed_Prob_0_0","flutils.strutils","1615570420966756070","237","121569772858","0.8181818181818182","7","87","2","27","5","60"
"Seed_Prob_0_7","flutils.decorators","1615571252349748580","240","121361409746","0.7","8","49","7","41","1","8"
"Seed_Prob_0_9","flutils.setuputils.cfg","1615571496395203927","504","122055894952","0.03773584905660377","1","1","1","1","0","0"
"Seed_Prob_0_0","flutils.setuputils.cfg","1615570421530808321","305","121297185846","0.03773584905660377","6","6","6","6","0","0"
"Seed_Prob_0_5","flutils.txtutils","1615571001415501345","154","122483772957","0.16666666666666666","8","90","8","90","0","0"
"Seed_Prob_0_5","flutils.decorators","1615570985964742725","193","121578730134","0.7","10","66","8","58","2","8"
"Seed_Prob_0_6","flutils.codecs.raw_utf8_escape","1615571090177936064","154","121634261335","0.6521739130434783","11","76","10","66","1","10"
"Seed_Prob_0_3","flutils.codecs.b64","1615570734647081606","248","121450896214","0.7692307692307693","7","25","7","25","0","0"
"Seed_Prob_0_3","flutils.codecs.raw_utf8_escape","1615570748710713149","143","122051471826","0.7391304347826086","10","73","10","73","0","0"
"Seed_Prob_0_1","flutils.decorators","1615570474825811786","231","121774655818","0.7","4","30","4","30","0","0"
"Seed_Prob_0_4","flutils.validators","1615570818483279815","175","121481471423","0.9565217391304348","10","60","9","42","1","18"
"Seed_Prob_0_6","flutils.objutils","1615571105398003883","154","121967266869","0.48484848484848486","10","167","0","0","10","167"
"Seed_Prob_0_3","flutils.decorators","1615570747882708275","251","121164405426","0.7","7","46","6","40","1","6"
"Seed_Prob_0_4","flutils.txtutils","1615570818779018460","155","121713315442","0.16666666666666666","9","81","8","77","1","4"
"Seed_Prob_0_1","flutils.setuputils.cfg","1615570474826313987","385","121771907991","0.03773584905660377","4","10","4","10","0","0"
"Seed_Prob_0_8","flutils.namedtupleutils","1615571368763861391","239","121632632461","0.5263157894736842","9","35","7","27","2","8"
"Seed_Prob_0_4","flutils.decorators","1615570882507417219","206","123189474360","0.7","8","70","8","70","0","0"
"Seed_Prob_0_4","flutils.setuputils.cmd","1615570882066316909","232","123030043120","0.058823529411764705","7","8","7","8","0","0"
"Seed_Prob_0_1","flutils.moduleutils","1615570468471704778","232","121764100609","0.2426470588235294","10","42","10","42","0","0"
"Seed_Prob_0_7","flutils.codecs.raw_utf8_escape","1615571246192409336","172","121598572054","0.782608695652174","9","60","9","60","0","0"
"Seed_Prob_0_8","flutils.codecs.b64","1615571388170695691","199","121317282766","0.6923076923076923","8","48","8","48","0","0"
"Seed_Prob_0_2","flutils.objutils","1615570636966676181","189","124856797798","0.48484848484848486","4","58","0","0","4","58"
"Seed_Prob_0_5","flutils.pathutils","1615570998138202687","155","122393028915","0.46153846153846156","15","62","15","62","0","0"
"Seed_Prob_0_5","flutils.moduleutils","1615570974391807313","180","121597717746","0.25","12","39","12","39","0","0"
"Seed_Prob_0_0","flutils.objutils","1615570412367971426","115","123347893206","0.48484848484848486","8","212","0","0","8","212"
"Seed_Prob_0_5","flutils.setuputils.cfg","1615570975019533442","309","121423433781","0.03773584905660377","6","15","6","15","0","0"
"Seed_Prob_0_9","flutils.decorators","1615571494369298739","201","121845794333","0.7","8","69","7","61","1","8"
"Seed_Prob_0_6","flutils.validators","1615571110750907773","96","69486405437","1.0","12","96","11","74","1","22"
"Seed_Prob_0_4","flutils.objutils","1615570859245622712","105","123306566120","0.48484848484848486","9","229","0","0","9","229"
"Seed_Prob_0_6","flutils.txtutils","1615571105329596942","191","121906616007","0.16666666666666666","9","84","9","84","0","0"
"Seed_Prob_0_8","flutils.codecs.raw_utf8_escape","1615571368204269813","200","121471424695","0.782608695652174","9","64","9","64","0","0"
"Seed_Prob_0_3","flutils.namedtupleutils","1615570733642436178","244","121616693472","0.5263157894736842","4","28","3","14","1","14"
"Seed_Prob_0_3","flutils.packages","1615570734721256118","282","121592114759","0.07142857142857142","9","22","9","22","0","0"
"Seed_Prob_0_9","flutils.strutils","1615571494608371919","177","124662780514","0.9545454545454546","8","104","2","22","6","82"
"Seed_Prob_0_0","flutils.setuputils.cmd","1615570421531212913","329","121021331027","0.058823529411764705","3","4","3","4","0","0"
"Seed_Prob_0_5","flutils.validators","1615570999281727737","21","17483382520","1.0","9","46","9","46","0","0"
"Seed_Prob_0_0","flutils.decorators","1615570421530162832","369","121176567056","0.7","3","23","2","12","1","11"
"Seed_Prob_0_9","flutils.objutils","1615571486970678628","204","121321008501","0.48484848484848486","2","37","0","0","2","37"
"Seed_Prob_0_2","flutils.decorators","1615570624767153661","280","121354233826","0.7","6","37","6","37","0","0"
"Seed_Prob_0_9","flutils.setuputils.cmd","1615571499573876710","316","121082924087","0.058823529411764705","7","8","7","8","0","0"
"Seed_Prob_0_2","flutils.setuputils.cmd","1615570645118462013","206","123240031299","0.058823529411764705","9","10","9","10","0","0"
"Seed_Prob_0_5","flutils.strutils","1615570974911696368","107","123845250225","0.9545454545454546","10","231","5","109","5","122"
"Seed_Prob_0_5","flutils.setuputils.cmd","1615570973388181392","427","121248854871","0.058823529411764705","5","7","5","7","0","0"
"Seed_Prob_0_0","flutils.txtutils","1615570421544754814","175","122120925101","0.16666666666666666","8","88","8","88","0","0"
"Seed_Prob_0_2","flutils.validators","1615570625087797816","149","98878329572","1.0","10","52","10","52","0","0"
"Seed_Prob_0_2","flutils.txtutils","1615570628747804064","144","123048478093","0.18421052631578946","13","149","11","143","2","6"
"Seed_Prob_0_5","flutils.objutils","1615571000044102026","177","122941790367","0.48484848484848486","3","63","0","0","3","63"
