"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_2","mimesis.exceptions","1615567652429627437","201","121734533834","0.9545454545454546","9","81","7","49","2","32"
"Seed_Prob_0_8","mimesis.builtins.uk","1615568359050241410","0","6510110933","1.0","6","30","6","30","0","0"
"Seed_Prob_0_5","mimesis.providers.development","1615567994431420093","0","9186483299","1.0","9","209","0","0","9","209"
"Seed_Prob_0_3","mimesis.decorators","1615567791787033344","167","123013885066","0.14285714285714285","6","124","0","0","6","124"
"Seed_Prob_0_9","mimesis.exceptions","1615568525333611038","230","121829993044","0.9545454545454546","10","91","7","78","3","13"
"Seed_Prob_0_5","mimesis.providers.clothing","1615568002325117813","0","7912596396","1.0","5","58","4","42","1","16"
"Seed_Prob_0_3","mimesis.builtins.nl","1615567791784628119","97","123304186036","0.9230769230769231","7","165","0","0","7","165"
"Seed_Prob_0_2","mimesis.providers.code","1615567629498921448","0","6350098291","1.0","3","26","3","26","0","0"
"Seed_Prob_0_9","mimesis.providers.hardware","1615568525424935602","0","9914699253","1.0","8","201","0","0","8","201"
"Seed_Prob_0_0","mimesis.builtins.uk","1615567413815392025","0","9691032784","1.0","4","13","4","13","0","0"
"Seed_Prob_0_0","mimesis.providers.units","1615567392257627588","1","7089712303","1.0","9","37","9","37","0","0"
"Seed_Prob_0_1","mimesis.builtins.pl","1615567524365883657","225","122221483579","0.6666666666666666","6","78","3","20","3","58"
"Seed_Prob_0_0","mimesis.providers.payment","1615567412703564623","119","122237604178","0.9615384615384616","6","48","6","48","0","0"
"Seed_Prob_0_0","mimesis.builtins.da","1615567393533682123","0","8555066384","1.0","2","50","0","0","2","50"
"Seed_Prob_0_8","mimesis.providers.payment","1615568373589856915","106","123643701988","0.9615384615384616","10","62","8","54","2","8"
"Seed_Prob_0_7","mimesis.builtins.it","1615568244899985137","313","121481561586","0.8571428571428571","2","19","1","4","1","15"
"Seed_Prob_0_4","mimesis.providers.code","1615567873646789265","0","7226495814","1.0","10","62","8","55","2","7"
"Seed_Prob_0_7","mimesis.builtins.da","1615568281225423257","0","8120292451","1.0","3","47","0","0","3","47"
"Seed_Prob_0_7","mimesis.builtins.de","1615568259528952070","0","11435970245","1.0","4","67","1","16","3","51"
"Seed_Prob_0_5","mimesis.builtins.pt_br","1615568022983895271","153","122723550616","0.8","9","190","0","0","9","190"
"Seed_Prob_0_4","mimesis.builtins.da","1615567874512351789","0","9220254696","1.0","1","3","0","0","1","3"
"Seed_Prob_0_1","mimesis.providers.address","1615567498605643625","87","122987488056","0.92","10","149","5","87","5","62"
"Seed_Prob_0_8","mimesis.builtins.nl","1615568394312673232","155","121698013186","0.9230769230769231","2","42","0","0","2","42"
"Seed_Prob_0_3","mimesis.builtins.base","1615567768552924253","0","12809625258","1.0","8","180","0","0","8","180"
"Seed_Prob_0_5","mimesis.providers.base","1615568053053514400","195","121499311847","0.45","9","50","9","50","0","0"
"Seed_Prob_0_1","mimesis.providers.code","1615567503930924707","0","11178240919","1.0","7","42","7","42","0","0"
"Seed_Prob_0_8","mimesis.providers.choice","1615568413564068331","17","147231317789","0.8709677419354839","10","69","8","62","2","7"
"Seed_Prob_0_1","mimesis.providers.choice","1615567560192912856","160","121935463412","0.9032258064516129","13","90","12","85","1","5"
"Seed_Prob_0_6","mimesis.providers.business","1615568134961395544","0","7668981828","1.0","3","92","0","0","3","92"
"Seed_Prob_0_1","mimesis.builtins.ru","1615567549113131681","136","122587180358","0.803921568627451","9","109","5","65","4","44"
"Seed_Prob_0_8","mimesis.providers.development","1615568397298558532","0","9653708392","1.0","9","223","0","0","9","223"
"Seed_Prob_0_4","mimesis.providers.food","1615567851617478882","0","8778598435","1.0","8","94","0","0","8","94"
"Seed_Prob_0_6","mimesis.builtins.it","1615568122898319294","207","121732292087","0.8571428571428571","7","30","7","30","0","0"
"Seed_Prob_0_8","mimesis.builtins.da","1615568394242856709","0","8323593209","1.0","5","65","0","0","5","65"
"Seed_Prob_0_4","mimesis.builtins.nl","1615567890187778779","96","124993334608","0.9230769230769231","9","216","0","0","9","216"
"Seed_Prob_0_3","mimesis.providers.address","1615567795045201592","90","122262161134","0.92","10","163","4","56","6","107"
"Seed_Prob_0_1","mimesis.providers.numbers","1615567458569138079","4","82092078837","1.0","10","140","10","140","0","0"
"Seed_Prob_0_2","mimesis.providers.payment","1615567620342741263","108","124551805027","0.9615384615384616","6","81","6","81","0","0"
"Seed_Prob_0_5","mimesis.providers.transport","1615568019733482200","0","6537136594","1.0","9","72","6","47","3","25"
"Seed_Prob_0_4","mimesis.providers.numbers","1615567856197348703","6","197832745438","0.9565217391304348","8","122","4","57","4","65"
"Seed_Prob_0_7","mimesis.builtins.uk","1615568243269253061","0","9314683317","1.0","6","14","6","14","0","0"
"Seed_Prob_0_1","mimesis.random","1615567458446076577","170","122294854813","0.9428571428571428","8","143","7","129","1","14"
"Seed_Prob_0_4","mimesis.providers.development","1615567900461609695","0","9958034635","1.0","5","88","0","0","5","88"
"Seed_Prob_0_2","mimesis.builtins.uk","1615567620219943913","0","11122058688","1.0","5","16","5","16","0","0"
"Seed_Prob_0_0","mimesis.providers.code","1615567409516535039","0","9525889898","1.0","10","66","10","66","0","0"
"Seed_Prob_0_2","mimesis.providers.base","1615567649068247515","222","123194599515","0.45","8","41","7","37","1","4"
"Seed_Prob_0_9","mimesis.providers.food","1615568488189607369","0","11422258914","1.0","7","99","0","0","7","99"
"Seed_Prob_0_7","mimesis.builtins.pl","1615568259479025240","171","122311801220","0.6666666666666666","10","95","6","61","4","34"
"Seed_Prob_0_3","mimesis.providers.code","1615567769938103237","0","11429549594","1.0","10","61","8","39","2","22"
"Seed_Prob_0_0","mimesis.providers.development","1615567402519396951","0","9262647473","1.0","9","211","0","0","9","211"
