"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_1","pypara.exchange","1615572138771916605","202","122068622710","0.21739130434782608","6","18","6","18","0","0"
"Seed_Prob_0_6","pypara.commons.errors","1615572720696469205","165","122396701034","0.2857142857142857","10","171","0","0","10","171"
"Seed_Prob_0_5","pypara.exchange","1615572654980636297","201","122091141976","0.21739130434782608","9","40","8","37","1","3"
"Seed_Prob_0_9","pypara.commons.numbers","1615573114510916677","0","6279445465","1.0","2","26","2","26","0","0"
"Seed_Prob_0_5","pypara.commons.errors","1615572644412777463","160","124791244362","0.2857142857142857","6","137","0","0","6","137"
"Seed_Prob_0_0","pypara.commons.errors","1615571982903050985","150","122418747572","0.2857142857142857","8","182","0","0","8","182"
"Seed_Prob_0_8","pypara.commons.errors","1615573014943401770","294","121248565773","0.2857142857142857","4","38","0","0","4","38"
"Seed_Prob_0_2","pypara.commons.errors","1615572239942033981","225","121182747973","0.2857142857142857","1","26","0","0","1","26"
"Seed_Prob_0_9","pypara.dcc","1615573150828571508","136","121941424077","0.192090395480226","12","40","12","40","0","0"
"Seed_Prob_0_1","pypara.commons.errors","1615572157067216910","233","121927674683","0.2857142857142857","4","61","0","0","4","61"
"Seed_Prob_0_4","pypara.commons.numbers","1615572482831295669","0","7141306659","1.0","8","114","4","47","4","67"
"Seed_Prob_0_4","pypara.exchange","1615572509551496116","174","123781671195","0.21739130434782608","10","26","9","23","1","3"
"Seed_Prob_0_9","pypara.exchange","1615573150738833518","219","121416594173","0.21739130434782608","9","31","9","31","0","0"
"Seed_Prob_0_6","pypara.monetary","1615572720912019925","109","123062545047","0.22039473684210525","18","246","12","158","6","88"
"Seed_Prob_0_3","pypara.monetary","1615572385908516719","117","124819523751","0.2236842105263158","19","207","14","140","5","67"
"Seed_Prob_0_7","pypara.monetary","1615572873111585459","137","122775282343","0.24342105263157895","20","184","16","134","4","50"
"Seed_Prob_0_4","pypara.dcc","1615572509550755933","120","123784795206","0.1977401129943503","12","42","11","36","1","6"
"Seed_Prob_0_1","pypara.dcc","1615572131232767745","123","123213512572","0.192090395480226","10","39","10","39","0","0"
"Seed_Prob_0_1","pypara.commons.numbers","1615572154650314703","0","7337508284","1.0","7","123","2","25","5","98"
"Seed_Prob_0_8","pypara.monetary","1615573011970409718","116","127400720829","0.2236842105263158","22","179","17","99","5","80"
"Seed_Prob_0_2","pypara.monetary","1615572239889805976","107","123498376738","0.20394736842105263","18","239","16","199","2","40"
"Seed_Prob_0_5","pypara.dcc","1615572643251511203","137","122132555821","0.1977401129943503","13","61","13","61","0","0"
"Seed_Prob_0_5","pypara.commons.numbers","1615572654383210760","0","6919589660","1.0","4","60","2","44","2","16"
"Seed_Prob_0_0","pypara.monetary","1615571983683694559","126","123183556045","0.22697368421052633","17","173","16","154","1","19"
"Seed_Prob_0_9","pypara.commons.errors","1615573114934554108","201","121828089081","0.2857142857142857","7","118","0","0","7","118"
"Seed_Prob_0_7","pypara.exchange","1615572894378585513","162","121656582197","0.21739130434782608","7","40","7","40","0","0"
"Seed_Prob_0_4","pypara.monetary","1615572483312459148","109","123421641699","0.2138157894736842","18","205","18","205","0","0"
"Seed_Prob_0_8","pypara.dcc","1615573002008732663","164","123391040716","0.2033898305084746","12","46","12","46","0","0"
