"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_5","string_utils.validation","1615564893102827515","81","124273170583","0.7569444444444444","20","457","8","170","12","287"
"Seed_Prob_0_2","string_utils.validation","1615564531575860057","92","123706068422","0.75","18","333","7","83","11","250"
"Seed_Prob_0_7","string_utils.validation","1615565129854776268","100","123775467672","0.7291666666666666","16","316","7","93","9","223"
"Seed_Prob_0_7","string_utils.generation","1615565130341376148","156","121419076275","0.9047619047619048","13","92","12","87","1","5"
"Seed_Prob_0_5","string_utils.generation","1615564893213295924","146","121797739782","0.9047619047619048","10","82","10","82","0","0"
"Seed_Prob_0_9","string_utils.validation","1615565417702853868","97","123160309765","0.75","19","376","9","166","10","210"
"Seed_Prob_0_3","string_utils.validation","1615564654467701014","77","124075447748","0.75","19","490","8","191","11","299"
"Seed_Prob_0_3","string_utils.generation","1615564647247450733","169","121798319504","0.9047619047619048","12","87","12","87","0","0"
"Seed_Prob_0_9","string_utils.generation","1615565415652947939","196","122529078450","0.9047619047619048","13","82","13","82","0","0"
"Seed_Prob_0_1","string_utils.validation","1615564397027720728","88","125295623867","0.7430555555555556","17","372","7","128","10","244"
"Seed_Prob_0_1","string_utils.generation","1615564397028040888","194","122748386155","0.9047619047619048","10","61","10","61","0","0"
"Seed_Prob_0_8","string_utils.errors","1615565301866720909","0","10464604851","1.0","2","25","0","0","2","25"
"Seed_Prob_0_0","string_utils.manipulation","1615564337471368094","121","122557331283","0.8702290076335878","25","194","24","185","1","9"
"Seed_Prob_0_4","string_utils.generation","1615564787645740337","191","121376113017","0.9047619047619048","11","89","11","89","0","0"
"Seed_Prob_0_4","string_utils.manipulation","1615564780525696538","131","122273404572","0.8549618320610687","22","170","21","165","1","5"
"Seed_Prob_0_0","string_utils.generation","1615564337232175369","178","121702239718","0.9047619047619048","14","70","14","70","0","0"
"Seed_Prob_0_1","string_utils.errors","1615564384275220402","0","12703746060","1.0","8","170","0","0","8","170"
"Seed_Prob_0_9","string_utils.errors","1615565411176351696","0","9670857495","1.0","5","116","0","0","5","116"
"Seed_Prob_0_3","string_utils.errors","1615564654468810163","0","9865486100","1.0","3","27","0","0","3","27"
"Seed_Prob_0_2","string_utils.manipulation","1615564531712031175","113","122856847845","0.8244274809160306","21","186","21","186","0","0"
"Seed_Prob_0_5","string_utils.errors","1615564899912370882","0","13472860429","1.0","6","178","0","0","6","178"
"Seed_Prob_0_2","string_utils.generation","1615564528945926990","190","122164469229","0.9047619047619048","11","55","10","45","1","10"
"Seed_Prob_0_7","string_utils.errors","1615565130183171022","0","11233672156","1.0","7","146","0","0","7","146"
"Seed_Prob_0_2","string_utils.errors","1615564531552654447","0","14060115837","1.0","8","251","0","0","8","251"
"Seed_Prob_0_0","string_utils.validation","1615564337232162117","88","124213588755","0.7638888888888888","20","398","6","62","14","336"
"Seed_Prob_0_4","string_utils.validation","1615564787651851668","90","123991772746","0.75","15","348","6","101","9","247"
"Seed_Prob_0_6","string_utils.errors","1615565045814276024","0","13524015469","1.0","9","208","0","0","9","208"
"Seed_Prob_0_6","string_utils.manipulation","1615565000086130886","132","121955362013","0.9007633587786259","24","190","24","190","0","0"
"Seed_Prob_0_1","string_utils.manipulation","1615564396479463621","106","123700060462","0.8702290076335878","25","203","24","185","1","18"
"Seed_Prob_0_6","string_utils.generation","1615565040627462651","189","122285751751","0.9047619047619048","11","76","11","76","0","0"
"Seed_Prob_0_3","string_utils.manipulation","1615564647061213531","120","121917390342","0.8702290076335878","27","216","25","189","2","27"
"Seed_Prob_0_9","string_utils.manipulation","1615565417978567646","126","123265240118","0.8473282442748091","28","202","25","170","3","32"
"Seed_Prob_0_7","string_utils.manipulation","1615565128683761995","129","122761358342","0.8549618320610687","22","203","22","203","0","0"
"Seed_Prob_0_5","string_utils.manipulation","1615564888203155922","117","123007789963","0.8244274809160306","23","171","23","171","0","0"
"Seed_Prob_0_0","string_utils.errors","1615564337231451836","0","11564236033","1.0","7","134","0","0","7","134"
"Seed_Prob_0_8","string_utils.generation","1615565277222237037","239","121221224405","0.9047619047619048","11","66","11","66","0","0"
"Seed_Prob_0_8","string_utils.manipulation","1615565282152082479","142","123095905126","0.8625954198473282","26","189","25","180","1","9"
"Seed_Prob_0_4","string_utils.errors","1615564787651983867","0","13193361398","1.0","8","189","0","0","8","189"
"Seed_Prob_0_6","string_utils.validation","1615565045323208324","97","125717132671","0.75","18","375","7","105","11","270"
