"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_7","pytutils.log","1615562191257458970","179","121612592256","0.7941176470588235","9","77","9","77","0","0"
"Seed_Prob_0_1","pytutils.log","1615561501228020307","200","121446059470","0.7941176470588235","7","59","7","59","0","0"
"Seed_Prob_0_2","pytutils.sets","1615561547382300238","204","121214860508","0.6666666666666666","3","41","3","41","0","0"
"Seed_Prob_0_8","pytutils.env","1615562345202787349","191","121332682425","0.5","6","60","6","60","0","0"
"Seed_Prob_0_4","pytutils.meth","1615561851406534896","0","5052093117","1.0","2","11","2","11","0","0"
"Seed_Prob_0_8","pytutils.python","1615562297577378386","128","122506941376","0.3","9","220","0","0","9","220"
"Seed_Prob_0_7","pytutils.memo","1615562223289873128","263","121767664194","0.25","6","40","6","40","0","0"
"Seed_Prob_0_1","pytutils.memo","1615561510941812111","185","121436128466","0.25","10","46","10","46","0","0"
"Seed_Prob_0_3","pytutils.props","1615561710604198729","207","121546195099","0.6470588235294118","10","89","7","66","3","23"
"Seed_Prob_0_4","pytutils.sets","1615561824474835100","137","121882973260","0.6666666666666666","9","82","9","82","0","0"
"Seed_Prob_0_6","pytutils.path","1615562070999992070","155","122260111922","0.25","10","223","0","0","10","223"
"Seed_Prob_0_5","pytutils.lazy.lazy_regex","1615562007157636695","188","122049996979","0.6041666666666666","8","63","8","63","0","0"
"Seed_Prob_0_2","pytutils.meth","1615561542530901495","0","5424163283","1.0","9","49","9","49","0","0"
"Seed_Prob_0_8","pytutils.log","1615562345145619885","168","121319602233","0.7647058823529411","9","71","9","71","0","0"
"Seed_Prob_0_6","pytutils.timers","1615562074493796394","0","6627569502","1.0","5","93","4","54","1","39"
"Seed_Prob_0_5","pytutils.files","1615561942045399638","163","121287043283","0.3448275862068966","9","107","7","83","2","24"
"Seed_Prob_0_7","pytutils.trees","1615562206384995485","164","123834717745","0.75","8","73","8","73","0","0"
"Seed_Prob_0_9","pytutils.log","1615562470933666570","174","121545490260","0.7647058823529411","10","81","9","66","1","15"
"Seed_Prob_0_9","pytutils.memo","1615562461910272457","250","121275527206","0.25","9","47","8","45","1","2"
"Seed_Prob_0_6","pytutils.sets","1615562097564030011","159","122539256134","0.6666666666666666","8","76","8","76","0","0"
"Seed_Prob_0_5","pytutils.path","1615561957703630228","235","121295665765","0.25","3","73","0","0","3","73"
"Seed_Prob_0_3","pytutils.urls","1615561748575591103","232","122978146333","0.75","7","36","7","36","0","0"
"Seed_Prob_0_2","pytutils.tlds","1615561617838554242","56","29525544390","1.0","8","56","7","53","1","3"
"Seed_Prob_0_6","pytutils.meth","1615562099062148318","0","7242843184","1.0","2","9","2","9","0","0"
"Seed_Prob_0_7","pytutils.pythree","1615562201293267731","391","121350669421","0.42857142857142855","4","23","4","23","0","0"
