"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.5_Mut_0","apimd.compiler","1615369367877430522","112","122668917721","0.2537313432835821","19","101","19","101","0","0","","False",""
"Init_Reuse_0.3_Mut_0","apimd.compiler","1615369206622398022","134","123845302263","0.2537313432835821","16","113","16","113","0","0","","False",""
"Init_Reuse_0.5_Mut_8","apimd.compiler","1615370248585634232","120","122040899729","0.263681592039801","17","164","17","164","0","0","","False",""
"Init_Reuse_0.7_Mut_8","apimd.compiler","1615370398076015717","139","122088316497","0.25870646766169153","19","134","18","129","1","5","","False",""
"Init_Reuse_0.3_Mut_4","apimd.compiler","1615369674859838154","124","122401790729","0.263681592039801","18","148","16","123","2","25","","False",""
"Init_Reuse_0.9_Mut_4","apimd.compiler","1615370041167243955","114","122544542016","0.263681592039801","18","135","18","135","0","0","","False",""
"Init_Reuse_0.3_Mut_8","apimd.compiler","1615370143578951393","136","122757533619","0.25870646766169153","17","114","17","114","0","0","","False",""
"Init_Reuse_0.9_Mut_8","apimd.compiler","1615370504788417395","105","122883163696","0.263681592039801","18","149","18","149","0","0","","False",""
"Init_Reuse_0.7_Mut_4","apimd.compiler","1615369924167612861","144","122595946992","0.263681592039801","17","122","14","94","3","28","","False",""
"Init_Reuse_0.0_Mut_0","apimd.compiler","1615369148566811746","133","122478600931","0.263681592039801","20","139","18","129","2","10","","",""
"Init_Reuse_0.9_Mut_0","apimd.compiler","1615369566097304073","124","122692831280","0.25870646766169153","15","141","15","141","0","0","","False",""
"Init_Reuse_0.7_Mut_0","apimd.compiler","1615369484870677408","141","122530686985","0.25870646766169153","17","140","16","130","1","10","","False",""
"Init_Reuse_0.5_Mut_4","apimd.compiler","1615369804123549202","123","122464217706","0.263681592039801","19","127","19","127","0","0","","False",""
