"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.5_Mut_8","async_btree.leaf","1615368548095963124","375","121064053935","0.5","4","43","0","0","4","43","3","True","3"
"Init_Reuse_0.5_Mut_4","async_btree.leaf","1615368053386852450","132","122245843989","0.5","7","172","0","0","7","172","3","True","3"
"Init_Reuse_0.7_Mut_0","async_btree.utils","1615367726414285395","266","121197615258","0.15789473684210525","4","29","4","29","0","0","0","True","1"
"Init_Reuse_0.7_Mut_4","async_btree.leaf","1615368162403799311","471","121922954560","0.5","10","47","0","0","10","47","3","True","3"
"Init_Reuse_0.5_Mut_8","async_btree.decorator","1615368538461348795","184","122103467650","0.30612244897959184","7","126","1","13","6","113","6","True","10"
"Init_Reuse_0.9_Mut_4","async_btree.control","1615368293640473629","349","121184253639","0.36363636363636365","7","55","3","36","4","19","3","True","6"
"Init_Reuse_0.5_Mut_0","async_btree.leaf","1615367599999848899","261","121818189519","0.5","9","63","0","0","9","63","3","True","3"
"Init_Reuse_0.9_Mut_0","async_btree.leaf","1615367847182168208","472","121227212784","0.5","1","22","0","0","1","22","3","True","3"
"Init_Reuse_0.0_Mut_0","async_btree.control","1615367433225002667","192","121705877265","0.36363636363636365","8","80","7","76","1","4","","",""
"Init_Reuse_0.9_Mut_8","async_btree.control","1615368762184273887","459","123095934269","0.3333333333333333","9","56","8","46","1","10","3","True","6"
"Init_Reuse_0.3_Mut_4","async_btree.leaf","1615367942151303453","206","121423087069","0.5","5","83","0","0","5","83","3","True","3"
"Init_Reuse_0.3_Mut_0","async_btree.leaf","1615367488734679152","187","123250537049","0.5","6","121","0","0","6","121","3","True","3"
"Init_Reuse_0.7_Mut_8","async_btree.leaf","1615368676079519891","145","121571377241","0.5","7","155","0","0","7","155","3","True","3"
"Init_Reuse_0.7_Mut_8","async_btree.decorator","1615368624177593898","193","122062317625","0.30612244897959184","9","155","1","11","8","144","6","True","10"
"Init_Reuse_0.3_Mut_0","async_btree.decorator","1615367492321996043","167","121552754008","0.30612244897959184","6","75","4","40","2","35","6","True","10"
"Init_Reuse_0.3_Mut_8","async_btree.control","1615368406098155500","278","121313889517","0.3333333333333333","3","44","2","31","1","13","3","True","6"
"Init_Reuse_0.7_Mut_0","async_btree.decorator","1615367712657751849","213","121907627434","0.30612244897959184","8","117","4","64","4","53","6","True","10"
"Init_Reuse_0.3_Mut_4","async_btree.decorator","1615367942150924010","183","121836408199","0.30612244897959184","8","143","2","50","6","93","6","True","10"
"Init_Reuse_0.0_Mut_0","async_btree.utils","1615367431343660103","208","121472742410","0.15789473684210525","5","64","5","64","0","0","","",""
"Init_Reuse_0.9_Mut_8","async_btree.leaf","1615368742385480463","148","121535838353","0.5","2","56","0","0","2","56","3","True","3"
"Init_Reuse_0.9_Mut_0","async_btree.decorator","1615367860551034063","153","121688106247","0.30612244897959184","6","43","1","3","5","40","6","True","10"
"Init_Reuse_0.5_Mut_0","async_btree.control","1615367608254773292","270","122404182255","0.3333333333333333","9","62","5","62","4","0","3","True","6"
"Init_Reuse_0.0_Mut_0","async_btree.analyze","1615367427749203848","307","121870358257","0.16666666666666666","5","13","5","13","0","0","","",""
"Init_Reuse_0.7_Mut_4","async_btree.control","1615368174021866628","159","121438239332","0.3333333333333333","10","116","7","69","3","47","3","True","6"
"Init_Reuse_0.5_Mut_4","async_btree.utils","1615368053060802003","194","121501536899","0.15789473684210525","7","56","7","56","0","0","0","True","1"
"Init_Reuse_0.7_Mut_4","async_btree.utils","1615368165118140216","324","121081590260","0.15789473684210525","4","25","4","25","0","0","0","True","1"
"Init_Reuse_0.5_Mut_4","async_btree.control","1615368057655038779","164","121425274991","0.3333333333333333","9","83","7","75","2","8","3","True","6"
"Init_Reuse_0.9_Mut_8","async_btree.utils","1615368752697070179","188","121191537314","0.15789473684210525","9","80","8","77","1","3","0","True","1"
"Init_Reuse_0.5_Mut_0","async_btree.decorator","1615367600836504262","291","121529007207","0.30612244897959184","9","44","1","9","8","35","6","True","10"
"Init_Reuse_0.9_Mut_4","async_btree.utils","1615368308724332470","244","121158162053","0.15789473684210525","5","43","5","43","0","0","0","True","1"
"Init_Reuse_0.7_Mut_8","async_btree.control","1615368625546329456","202","121513307903","0.3333333333333333","5","65","4","61","1","4","3","True","6"
"Init_Reuse_0.9_Mut_0","async_btree.control","1615367844023363766","510","122294924613","0.3333333333333333","2","20","2","20","0","0","3","True","6"
"Init_Reuse_0.9_Mut_4","async_btree.decorator","1615368288272136755","208","121480492205","0.30612244897959184","4","74","1","24","3","50","6","True","10"
"Init_Reuse_0.3_Mut_0","async_btree.control","1615367485573528402","205","121418783060","0.3333333333333333","7","65","5","51","2","14","3","True","6"
"Init_Reuse_0.5_Mut_8","async_btree.utils","1615368508818019612","217","121329494078","0.15789473684210525","10","66","7","47","3","19","0","True","1"
"Init_Reuse_0.5_Mut_4","async_btree.decorator","1615368049491006133","210","121733032726","0.30612244897959184","9","105","4","64","5","41","6","True","10"
"Init_Reuse_0.7_Mut_4","async_btree.decorator","1615368170285374693","173","121772347794","0.30612244897959184","7","102","1","29","6","73","6","True","10"
