"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.3_Mut_8","codetiming._timers","1615365007105217531","212","122123825095","0.8529411764705882","12","85","12","85","0","0","","False",""
"Init_Reuse_0.5_Mut_8","codetiming._timer","1615365095724433039","3","12425715258","1.0","7","59","7","59","0","0","","False",""
"Init_Reuse_0.7_Mut_0","codetiming._timer","1615364349036620531","6","12662681894","1.0","6","45","5","41","1","4","","False",""
"Init_Reuse_0.9_Mut_8","codetiming._timers","1615365304003143299","133","121584829646","0.8235294117647058","14","107","14","107","0","0","","False",""
"Init_Reuse_0.3_Mut_0","codetiming._timers","1615364108805291433","126","121872857548","0.8529411764705882","14","105","14","105","0","0","","False",""
"Init_Reuse_0.9_Mut_4","codetiming._timers","1615364899438727587","138","122379776864","0.8529411764705882","14","109","14","109","0","0","","False",""
"Init_Reuse_0.7_Mut_8","codetiming._timers","1615365232654656701","195","122265577119","0.8529411764705882","12","102","12","102","0","0","","False",""
"Init_Reuse_0.9_Mut_0","codetiming._timers","1615364431798826096","213","121465543033","0.8529411764705882","11","87","9","71","2","16","","False",""
"Init_Reuse_0.0_Mut_0","codetiming._timer","1615364022201117715","15","16551743800","1.0","9","63","9","63","0","0","","",""
"Init_Reuse_0.7_Mut_4","codetiming._timer","1615364775541042977","4","9235715100","1.0","9","88","5","31","4","57","","False",""
"Init_Reuse_0.7_Mut_4","codetiming._timers","1615364775941339768","207","121533078303","0.8529411764705882","15","90","9","55","6","35","","False",""
"Init_Reuse_0.3_Mut_4","codetiming._timers","1615364554000707683","177","123000344980","0.8529411764705882","13","106","11","96","2","10","","False",""
"Init_Reuse_0.7_Mut_0","codetiming._timers","1615364342934011735","175","121884597172","0.8235294117647058","11","87","10","82","1","5","","False",""
"Init_Reuse_0.9_Mut_4","codetiming._timer","1615364883163268201","3","8522654842","1.0","8","62","6","42","2","20","","False",""
"Init_Reuse_0.9_Mut_8","codetiming._timer","1615365304075020097","1","8150842774","1.0","7","67","7","67","0","0","","False",""
"Init_Reuse_0.5_Mut_8","codetiming._timers","1615365101156662691","168","121592908686","0.8529411764705882","11","85","11","85","0","0","","False",""
"Init_Reuse_0.9_Mut_0","codetiming._timer","1615364430964664178","9","11802960433","1.0","6","41","5","37","1","4","","False",""
"Init_Reuse_0.0_Mut_0","codetiming._timers","1615364048042147843","171","122005768370","0.8529411764705882","11","71","10","64","1","7","","",""
"Init_Reuse_0.7_Mut_8","codetiming._timer","1615365231420286660","3","9794607719","1.0","10","100","9","91","1","9","","False",""
"Init_Reuse_0.5_Mut_0","codetiming._timers","1615364234396994155","171","121644820794","0.8529411764705882","13","102","13","102","0","0","","False",""
"Init_Reuse_0.3_Mut_0","codetiming._timer","1615364108954362159","12","14619534208","1.0","7","68","5","46","2","22","","False",""
"Init_Reuse_0.5_Mut_4","codetiming._timer","1615364691062936826","2","10702597160","1.0","7","65","5","51","2","14","","False",""
"Init_Reuse_0.5_Mut_0","codetiming._timer","1615364233312346904","14","17171953569","1.0","8","70","7","62","1","8","","False",""
"Init_Reuse_0.3_Mut_4","codetiming._timer","1615364553936908896","47","34334459931","1.0","9","73","8","64","1","9","","False",""
"Init_Reuse_0.3_Mut_8","codetiming._timer","1615364991032043894","6","10974161566","1.0","8","61","8","61","0","0","","False",""
"Init_Reuse_0.5_Mut_4","codetiming._timers","1615364697120327270","173","123785534821","0.8529411764705882","10","89","10","89","0","0","","False",""
