"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.7_Mut_0","docstring_parser.numpydoc","1615360904186054037","126","121586699200","0.5897435897435898","12","167","10","132","2","35","0","True","16"
"Init_Reuse_0.7_Mut_4","docstring_parser.numpydoc","1615361366961088672","131","123451824682","0.6923076923076923","13","209","8","99","5","110","0","True","16"
"Init_Reuse_0.9_Mut_8","docstring_parser.common","1615361906727839496","198","123129490760","0.3888888888888889","7","91","0","0","7","91","","False",""
"Init_Reuse_0.5_Mut_0","docstring_parser.rest","1615360841841750056","181","123608934266","0.5111111111111111","7","155","3","68","4","87","1","True","11"
"Init_Reuse_0.7_Mut_4","docstring_parser.common","1615361366956486754","157","123449595854","0.3888888888888889","8","154","0","0","8","154","","False",""
"Init_Reuse_0.9_Mut_0","docstring_parser.parser","1615361033145879480","292","121697385389","0.2727272727272727","4","10","4","10","0","0","0","True","3"
"Init_Reuse_0.3_Mut_0","docstring_parser.parser","1615360680233222278","202","121101249751","0.2727272727272727","10","26","10","26","0","0","0","True","3"
"Init_Reuse_0.0_Mut_0","docstring_parser.parser","1615360614061433799","259","121067762690","0.2727272727272727","6","14","6","14","0","0","","",""
"Init_Reuse_0.0_Mut_0","docstring_parser.styles","1615360613486285645","0","7974257879","1.0","3","3","3","3","0","0","","",""
"Init_Reuse_0.9_Mut_0","docstring_parser.styles","1615361025862619640","0","8630584050","1.0","1","1","1","1","0","0","","False",""
"Init_Reuse_0.9_Mut_0","docstring_parser.common","1615361028914448752","179","121208779611","0.3888888888888889","2","61","0","0","2","61","","False",""
"Init_Reuse_0.7_Mut_8","docstring_parser.common","1615361826324296277","123","121759607531","0.3888888888888889","7","187","0","0","7","187","","False",""
"Init_Reuse_0.7_Mut_8","docstring_parser.styles","1615361828305460902","0","7644091022","1.0","7","7","7","7","0","0","","False",""
"Init_Reuse_0.9_Mut_4","docstring_parser.common","1615361494345331978","121","121852104354","0.3888888888888889","10","254","0","0","10","254","","False",""
"Init_Reuse_0.5_Mut_4","docstring_parser.rest","1615361250230156928","148","121553027756","0.5111111111111111","10","146","4","29","6","117","1","True","11"
"Init_Reuse_0.5_Mut_4","docstring_parser.google","1615361254102283118","316","121413665698","0.3181818181818182","8","47","7","43","1","4","1","True","13"
"Init_Reuse_0.5_Mut_8","docstring_parser.parser","1615361692399338209","267","121152601473","0.2727272727272727","5","13","5","13","0","0","0","True","3"
"Init_Reuse_0.5_Mut_8","docstring_parser.styles","1615361707559313493","0","9075756585","1.0","6","6","6","6","0","0","","False",""
"Init_Reuse_0.9_Mut_8","docstring_parser.parser","1615361910080763050","294","121323034561","0.2727272727272727","5","11","5","11","0","0","0","True","3"
"Init_Reuse_0.3_Mut_8","docstring_parser.styles","1615361573311368200","0","6585854335","1.0","8","8","8","8","0","0","","False",""
"Init_Reuse_0.9_Mut_0","docstring_parser.rest","1615361034333821138","256","123383427751","0.5111111111111111","3","63","3","63","0","0","1","True","11"
"Init_Reuse_0.3_Mut_0","docstring_parser.rest","1615360677690104116","245","121421875170","0.5111111111111111","7","80","2","16","5","64","1","True","11"
"Init_Reuse_0.7_Mut_4","docstring_parser.google","1615361366714638174","219","121523772256","0.3181818181818182","11","48","10","42","1","6","1","True","13"
"Init_Reuse_0.5_Mut_0","docstring_parser.common","1615360841840972107","123","123565746557","0.3888888888888889","8","196","0","0","8","196","","False",""
"Init_Reuse_0.9_Mut_8","docstring_parser.rest","1615361907942481908","226","121863729572","0.5333333333333333","5","83","2","37","3","46","1","True","11"
"Init_Reuse_0.7_Mut_0","docstring_parser.styles","1615360921663477963","0","8432873370","1.0","1","1","1","1","0","0","","False",""
"Init_Reuse_0.7_Mut_4","docstring_parser.styles","1615361363661512672","0","8198828067","1.0","4","4","4","4","0","0","","False",""
"Init_Reuse_0.3_Mut_8","docstring_parser.numpydoc","1615361573707258405","138","121673942705","0.6410256410256411","10","160","8","150","2","10","0","True","16"
"Init_Reuse_0.5_Mut_4","docstring_parser.numpydoc","1615361272753586317","127","123285372475","0.6153846153846154","10","196","8","129","2","67","0","True","16"
"Init_Reuse_0.7_Mut_8","docstring_parser.numpydoc","1615361828308765332","169","121524608225","0.6794871794871795","11","152","8","125","3","27","0","True","16"
"Init_Reuse_0.9_Mut_4","docstring_parser.rest","1615361494345331406","620","121472112226","0.5111111111111111","6","25","3","14","3","11","1","True","11"
"Init_Reuse_0.5_Mut_4","docstring_parser.common","1615361249958108861","166","121797806003","0.3888888888888889","1","39","0","0","1","39","","False",""
"Init_Reuse_0.7_Mut_8","docstring_parser.google","1615361828251077443","185","122392110918","0.29545454545454547","12","52","10","33","2","19","1","True","13"
"Init_Reuse_0.9_Mut_4","docstring_parser.parser","1615361494345692390","365","121140296526","0.2727272727272727","3","8","3","8","0","0","0","True","3"
"Init_Reuse_0.3_Mut_4","docstring_parser.styles","1615361160957324156","0","7957580021","1.0","6","6","6","6","0","0","","False",""
"Init_Reuse_0.3_Mut_8","docstring_parser.parser","1615361580861501277","304","121513375958","0.2727272727272727","5","11","5","11","0","0","0","True","3"
"Init_Reuse_0.3_Mut_8","docstring_parser.google","1615361577184397299","216","121666938739","0.3068181818181818","9","55","9","55","0","0","1","True","13"
"Init_Reuse_0.7_Mut_0","docstring_parser.parser","1615360902864085189","152","121485934613","0.2727272727272727","10","22","10","22","0","0","0","True","3"
"Init_Reuse_0.5_Mut_8","docstring_parser.common","1615361697006015047","150","121560821391","0.3888888888888889","5","121","0","0","5","121","","False",""
"Init_Reuse_0.5_Mut_8","docstring_parser.google","1615361697008956303","282","121553291344","0.3068181818181818","7","34","7","34","0","0","1","True","13"
"Init_Reuse_0.7_Mut_8","docstring_parser.parser","1615361826355919954","233","121337942834","0.2727272727272727","6","14","6","14","0","0","0","True","3"
"Init_Reuse_0.9_Mut_4","docstring_parser.numpydoc","1615361486113174881","167","121749065887","0.6923076923076923","11","148","8","113","3","35","0","True","16"
"Init_Reuse_0.9_Mut_0","docstring_parser.google","1615361027798440319","440","121384891639","0.3068181818181818","1","18","1","18","0","0","1","True","13"
"Init_Reuse_0.3_Mut_0","docstring_parser.common","1615360680233495364","122","122398939535","0.3888888888888889","9","234","0","0","9","234","","False",""
"Init_Reuse_0.0_Mut_0","docstring_parser.common","1615360608614402970","173","121525175137","0.3888888888888889","2","65","0","0","2","65","","",""
"Init_Reuse_0.3_Mut_0","docstring_parser.styles","1615360714877701734","0","12086115648","1.0","6","6","6","6","0","0","","False",""
"Init_Reuse_0.0_Mut_0","docstring_parser.google","1615360614035303988","241","121621342951","0.3068181818181818","9","37","9","37","0","0","","",""
"Init_Reuse_0.5_Mut_0","docstring_parser.google","1615360823455031442","428","121486076654","0.3068181818181818","4","29","4","29","0","0","1","True","13"
"Init_Reuse_0.5_Mut_0","docstring_parser.parser","1615360840184462022","250","122133294075","0.2727272727272727","5","15","5","15","0","0","0","True","3"
"Init_Reuse_0.3_Mut_4","docstring_parser.google","1615361150575270340","279","121637740342","0.3068181818181818","6","27","6","27","0","0","1","True","13"
"Init_Reuse_0.7_Mut_4","docstring_parser.parser","1615361367200500123","171","121707811284","0.2727272727272727","10","23","10","23","0","0","0","True","3"
"Init_Reuse_0.9_Mut_8","docstring_parser.styles","1615361910049114883","0","9438736846","1.0","3","3","3","3","0","0","","False",""
"Init_Reuse_0.7_Mut_0","docstring_parser.common","1615360907266159121","158","121680898678","0.3888888888888889","9","166","0","0","9","166","","False",""
"Init_Reuse_0.3_Mut_4","docstring_parser.rest","1615361146056702423","158","121855026036","0.5111111111111111","9","158","2","26","7","132","1","True","11"
"Init_Reuse_0.9_Mut_8","docstring_parser.numpydoc","1615361910077219800","113","122752037322","0.6923076923076923","13","242","11","206","2","36","0","True","16"
"Init_Reuse_0.9_Mut_4","docstring_parser.google","1615361485790251900","227","121570472688","0.3068181818181818","8","34","8","34","0","0","1","True","13"
"Init_Reuse_0.5_Mut_4","docstring_parser.parser","1615361242679951096","229","121094514635","0.2727272727272727","8","19","8","19","0","0","0","True","3"
"Init_Reuse_0.7_Mut_8","docstring_parser.rest","1615361826883455996","121","122412813199","0.5111111111111111","8","178","2","31","6","147","1","True","11"
"Init_Reuse_0.5_Mut_8","docstring_parser.numpydoc","1615361696989502331","153","122266772711","0.6410256410256411","10","134","10","134","0","0","0","True","16"
"Init_Reuse_0.5_Mut_4","docstring_parser.styles","1615361266097299377","0","7958780505","1.0","7","7","7","7","0","0","","False",""
"Init_Reuse_0.9_Mut_4","docstring_parser.styles","1615361486496373510","0","7931526906","1.0","6","6","6","6","0","0","","False",""
"Init_Reuse_0.5_Mut_8","docstring_parser.rest","1615361691320538300","142","122503568162","0.5111111111111111","10","185","2","39","8","146","1","True","11"
"Init_Reuse_0.3_Mut_8","docstring_parser.common","1615361572339455241","144","122454828473","0.3888888888888889","7","149","0","0","7","149","","False",""
"Init_Reuse_0.7_Mut_0","docstring_parser.rest","1615360907034042387","201","121643358343","0.5111111111111111","5","95","3","30","2","65","1","True","11"
"Init_Reuse_0.3_Mut_8","docstring_parser.rest","1615361572343487588","172","122463094064","0.5333333333333333","9","156","3","49","6","107","1","True","11"
"Init_Reuse_0.3_Mut_4","docstring_parser.numpydoc","1615361155096162388","159","123850676167","0.6923076923076923","10","138","8","102","2","36","0","True","16"
"Init_Reuse_0.9_Mut_8","docstring_parser.google","1615361910368792028","195","121991683593","0.3068181818181818","9","41","9","41","0","0","1","True","13"
"Init_Reuse_0.7_Mut_0","docstring_parser.google","1615360904207839471","585","121387049897","0.3068181818181818","2","20","2","20","0","0","1","True","13"
"Init_Reuse_0.3_Mut_4","docstring_parser.parser","1615361146193990765","381","121189460174","0.2727272727272727","2","6","2","6","0","0","0","True","3"
"Init_Reuse_0.5_Mut_0","docstring_parser.styles","1615360827519886755","0","8099256274","1.0","5","5","5","5","0","0","","False",""
"Init_Reuse_0.3_Mut_4","docstring_parser.common","1615361158202223606","145","122451941820","0.3888888888888889","4","113","0","0","4","113","","False",""
"Init_Reuse_0.7_Mut_4","docstring_parser.rest","1615361369336286524","132","122905071015","0.5333333333333333","8","205","3","62","5","143","1","True","11"
"Init_Reuse_0.5_Mut_0","docstring_parser.numpydoc","1615360823511728715","119","122441424816","0.6794871794871795","14","228","10","140","4","88","0","True","16"
"Init_Reuse_0.0_Mut_0","docstring_parser.numpydoc","1615360613768487228","137","121792695542","0.5769230769230769","11","151","9","147","2","4","","",""
"Init_Reuse_0.3_Mut_0","docstring_parser.numpydoc","1615360710766840583","145","121840487849","0.6538461538461539","14","149","11","108","3","41","0","True","16"
"Init_Reuse_0.0_Mut_0","docstring_parser.rest","1615360614083425685","124","122073713530","0.5111111111111111","8","188","3","39","5","149","","",""
"Init_Reuse_0.3_Mut_0","docstring_parser.google","1615360714872390823","252","122158692444","0.3181818181818182","9","30","8","28","1","2","1","True","13"
"Init_Reuse_0.9_Mut_0","docstring_parser.numpydoc","1615361027835434379","178","122087227411","0.6794871794871795","9","117","8","114","1","3","0","True","16"
