"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.5_Mut_0","flutes.run","1615369395169936117","145","121930728184","0.1","9","46","9","46","0","0","0","True","1"
"Init_Reuse_0.5_Mut_8","flutes.timing","1615370265916529929","332","121265395103","0.5","2","25","0","0","2","25","1","True","1"
"Init_Reuse_0.5_Mut_0","flutes.exception","1615369379336524157","193","123383124553","0.1346153846153846","7","61","0","0","7","61","7","True","7"
"Init_Reuse_0.7_Mut_0","flutes.run","1615369536112251218","220","124611219264","0.1","7","46","6","42","1","4","0","True","1"
"Init_Reuse_0.9_Mut_4","flutes.iterator","1615370067065162488","174","123261456904","0.3813559322033898","17","127","15","104","2","23","5","True","9"
"Init_Reuse_0.7_Mut_0","flutes.exception","1615369537325545346","196","124008436325","0.1346153846153846","5","37","0","0","5","37","7","True","7"
"Init_Reuse_0.9_Mut_0","flutes.timing","1615369638837138395","245","126195833375","0.5","5","38","0","0","5","38","1","True","1"
"Init_Reuse_0.3_Mut_0","flutes.math","1615369229975277681","0","5721166193","1.0","2","34","0","0","2","34","1","True","1"
"Init_Reuse_0.7_Mut_8","flutes.run","1615370396874812428","291","121281336695","0.1","2","13","2","13","0","0","0","True","1"
"Init_Reuse_0.3_Mut_0","flutes.exception","1615369275009339530","135","121844058473","0.1346153846153846","10","136","0","0","10","136","7","True","7"
"Init_Reuse_0.9_Mut_8","flutes.structure","1615370539565467495","167","121922381443","0.39436619718309857","9","57","9","57","0","0","1","True","4"
"Init_Reuse_0.5_Mut_4","flutes.structure","1615369884709647390","229","122794027798","0.4507042253521127","10","65","9","61","1","4","1","True","4"
"Init_Reuse_0.0_Mut_0","flutes.exception","1615369201968948214","184","121552235693","0.1346153846153846","5","78","0","0","5","78","","",""
"Init_Reuse_0.9_Mut_8","flutes.iterator","1615370514680016112","181","121599503530","0.4067796610169492","12","102","12","102","0","0","5","True","9"
"Init_Reuse_0.0_Mut_0","flutes.io","1615369196325447903","167","122268933366","0.16417910447761194","9","72","7","52","2","20","","",""
"Init_Reuse_0.9_Mut_4","flutes.run","1615370066493872589","257","121265430889","0.1","4","32","4","32","0","0","0","True","1"
"Init_Reuse_0.3_Mut_4","flutes.structure","1615369719001923473","172","123542231707","0.4507042253521127","11","102","10","90","1","12","1","True","4"
"Init_Reuse_0.0_Mut_0","flutes.structure","1615369212186476260","213","121729110862","0.43661971830985913","11","68","11","68","0","0","","",""
"Init_Reuse_0.3_Mut_4","flutes.math","1615369751376587114","0","8589906733","1.0","8","105","8","105","0","0","1","True","1"
"Init_Reuse_0.5_Mut_8","flutes.structure","1615370317890784527","177","124135053574","0.4507042253521127","10","83","10","83","0","0","1","True","4"
"Init_Reuse_0.3_Mut_8","flutes.run","1615370192629399667","194","121782140692","0.1","8","34","7","31","1","3","0","True","1"
"Init_Reuse_0.9_Mut_0","flutes.math","1615369647517001972","0","3830366901","1.0","7","18","1","9","6","9","1","True","1"
"Init_Reuse_0.7_Mut_8","flutes.iterator","1615370398715531857","233","123485702947","0.4322033898305085","16","110","14","104","2","6","5","True","9"
"Init_Reuse_0.7_Mut_8","flutes.timing","1615370381588909443","236","121225495985","0.5","2","47","0","0","2","47","1","True","1"
"Init_Reuse_0.5_Mut_0","flutes.iterator","1615369376020955241","217","122759373924","0.3898305084745763","11","83","11","83","0","0","5","True","9"
"Init_Reuse_0.9_Mut_4","flutes.exception","1615370063169136875","430","122556937531","0.1346153846153846","8","40","0","0","8","40","7","True","7"
"Init_Reuse_0.7_Mut_0","flutes.structure","1615369489315535173","233","121517099060","0.43661971830985913","7","73","7","73","0","0","1","True","4"
"Init_Reuse_0.3_Mut_8","flutes.iterator","1615370207798731066","209","124838140071","0.3898305084745763","13","91","12","77","1","14","5","True","9"
"Init_Reuse_0.5_Mut_0","flutes.structure","1615369359169996203","256","121655946641","0.43661971830985913","7","64","6","46","1","18","1","True","4"
"Init_Reuse_0.3_Mut_8","flutes.exception","1615370210154563472","118","122594612723","0.1346153846153846","8","195","0","0","8","195","7","True","7"
"Init_Reuse_0.5_Mut_8","flutes.math","1615370265916548454","0","7543885238","1.0","6","73","4","49","2","24","1","True","1"
"Init_Reuse_0.5_Mut_8","flutes.run","1615370323696729650","204","122306382324","0.1","7","49","7","49","0","0","0","True","1"
"Init_Reuse_0.7_Mut_4","flutes.iterator","1615369944578481457","249","121438964746","0.3728813559322034","10","84","10","84","0","0","5","True","9"
"Init_Reuse_0.9_Mut_4","flutes.structure","1615370066314077730","260","121737918708","0.4084507042253521","10","90","7","58","3","32","1","True","4"
