"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.9_Mut_4","flutils.codecs.b64","1615366573564938518","601","121157028010","0.7692307692307693","7","14","3","10","4","4","2","True","13"
"Init_Reuse_0.5_Mut_8","flutils.codecs.raw_utf8_escape","1615366827675083952","170","121792722080","0.7391304347826086","11","85","11","85","0","0","3","True","11"
"Init_Reuse_0.5_Mut_0","flutils.moduleutils","1615365881433860026","197","121935306842","0.2426470588235294","11","36","11","36","0","0","","False",""
"Init_Reuse_0.7_Mut_0","flutils.validators","1615365996132373896","276","121155512183","0.9565217391304348","9","49","7","38","2","11","7","True","9"
"Init_Reuse_0.3_Mut_8","flutils.pathutils","1615366708644868218","183","122177730344","0.49230769230769234","15","61","15","61","0","0","8","True","8"
"Init_Reuse_0.0_Mut_0","flutils.validators","1615365707308788782","247","121633734400","0.9565217391304348","11","51","11","51","0","0","","",""
"Init_Reuse_0.3_Mut_8","flutils.codecs.b64","1615366708645116886","206","121808406238","0.7692307692307693","8","38","8","38","0","0","2","True","13"
"Init_Reuse_0.0_Mut_0","flutils.pathutils","1615365712559070180","127","122170768764","0.5923076923076923","17","89","17","89","0","0","","",""
"Init_Reuse_0.5_Mut_0","flutils.strutils","1615365879100042212","217","121311178314","0.8181818181818182","5","81","1","4","4","77","1","True","7"
"Init_Reuse_0.9_Mut_4","flutils.moduleutils","1615366581620735957","194","121603002567","0.2426470588235294","10","36","10","36","0","0","","False",""
"Init_Reuse_0.3_Mut_4","flutils.codecs.raw_utf8_escape","1615366222248778520","179","121198156351","0.782608695652174","10","70","9","68","1","2","3","True","11"
"Init_Reuse_0.5_Mut_8","flutils.setuputils.cfg","1615366788860862587","392","121263598593","0.03773584905660377","6","11","6","11","0","0","5","True","16"
"Init_Reuse_0.5_Mut_8","flutils.strutils","1615366808657906117","155","123160439816","0.8181818181818182","9","158","3","68","6","90","1","True","7"
"Init_Reuse_0.9_Mut_0","flutils.codecs.b64","1615366136703140929","462","122095149661","0.6923076923076923","5","28","4","27","1","1","2","True","13"
"Init_Reuse_0.3_Mut_0","flutils.codecs.raw_utf8_escape","1615365765515141734","245","121477544036","0.6956521739130435","9","61","8","59","1","2","3","True","11"
"Init_Reuse_0.7_Mut_8","flutils.pathutils","1615366917640641967","201","121635007891","0.5076923076923077","14","75","14","75","0","0","8","True","8"
"Init_Reuse_0.3_Mut_4","flutils.codecs.b64","1615366222248998710","278","121394526485","0.7692307692307693","10","38","8","34","2","4","2","True","13"
"Init_Reuse_0.9_Mut_0","flutils.strutils","1615366099274216808","358","121125856629","0.8181818181818182","8","30","2","26","6","4","1","True","7"
"Init_Reuse_0.5_Mut_4","flutils.objutils","1615366336710271321","167","122265230600","0.48484848484848486","10","164","0","0","10","164","24","True","41"
"Init_Reuse_0.7_Mut_8","flutils.packages","1615366902921712901","273","121429272517","0.07142857142857142","6","13","6","13","0","0","","False",""
"Init_Reuse_0.9_Mut_0","flutils.validators","1615366143365527502","535","122393268348","0.9130434782608695","6","28","5","22","1","6","7","True","9"
"Init_Reuse_0.3_Mut_4","flutils.strutils","1615366232515520866","198","121596712338","0.8181818181818182","6","84","2","13","4","71","1","True","7"
"Init_Reuse_0.9_Mut_8","flutils.codecs.b64","1615367028458844149","675","121175879636","0.6923076923076923","9","35","9","35","0","0","2","True","13"
"Init_Reuse_0.7_Mut_0","flutils.pathutils","1615365999781966631","183","121722801078","0.5153846153846153","13","72","13","72","0","0","8","True","8"
"Init_Reuse_0.5_Mut_4","flutils.moduleutils","1615366342502458703","171","122029329642","0.2426470588235294","12","50","12","50","0","0","","False",""
"Init_Reuse_0.5_Mut_4","flutils.pathutils","1615366350684118557","178","123396820087","0.47692307692307695","13","47","13","47","0","0","8","True","8"
"Init_Reuse_0.7_Mut_0","flutils.setuputils.cfg","1615366027482092683","832","121069461002","0.03773584905660377","2","4","2","4","0","0","5","True","16"
"Init_Reuse_0.0_Mut_0","flutils.setuputils.cfg","1615365706476533400","242","121914980453","0.03773584905660377","10","12","9","10","1","2","","",""
"Init_Reuse_0.7_Mut_4","flutils.namedtupleutils","1615366455877089281","312","121329294826","0.5263157894736842","9","67","4","31","5","36","1","True","11"
"Init_Reuse_0.3_Mut_8","flutils.strutils","1615366670926658493","134","121745249131","0.8181818181818182","10","167","7","99","3","68","1","True","7"
"Init_Reuse_0.5_Mut_0","flutils.validators","1615365899691585040","267","123425956047","0.9565217391304348","9","61","8","54","1","7","7","True","9"
"Init_Reuse_0.7_Mut_4","flutils.pathutils","1615366464038929929","227","122730715711","0.5","15","62","15","62","0","0","8","True","8"
"Init_Reuse_0.0_Mut_0","flutils.strutils","1615365701335913980","174","122116958291","0.8181818181818182","8","105","4","55","4","50","","",""
"Init_Reuse_0.3_Mut_0","flutils.setuputils.cfg","1615365779716315217","458","123142044820","0.03773584905660377","6","14","4","11","2","3","5","True","16"
"Init_Reuse_0.9_Mut_4","flutils.strutils","1615366581621017333","134","121552818660","0.8181818181818182","10","139","6","98","4","41","1","True","7"
"Init_Reuse_0.3_Mut_4","flutils.objutils","1615366221767093805","229","121851294889","0.48484848484848486","4","53","0","0","4","53","24","True","41"
"Init_Reuse_0.3_Mut_0","flutils.pathutils","1615365765529084354","155","121950740857","0.5","18","67","18","67","0","0","8","True","8"
"Init_Reuse_0.9_Mut_0","flutils.pathutils","1615366135413799819","311","121708948671","0.5615384615384615","8","46","8","46","0","0","8","True","8"
"Init_Reuse_0.3_Mut_4","flutils.pathutils","1615366222249458075","181","122391122672","0.5384615384615384","17","84","16","82","1","2","8","True","8"
"Init_Reuse_0.3_Mut_8","flutils.objutils","1615366708053245032","228","122355633395","0.5454545454545454","8","100","0","0","8","100","24","True","41"
"Init_Reuse_0.3_Mut_8","flutils.codecs.raw_utf8_escape","1615366710448826594","221","121286422503","0.782608695652174","9","60","8","54","1","6","3","True","11"
"Init_Reuse_0.0_Mut_0","flutils.objutils","1615365704836937602","179","121595451139","0.48484848484848486","1","30","0","0","1","30","","",""
"Init_Reuse_0.9_Mut_4","flutils.pathutils","1615366573532319391","287","121618878601","0.5461538461538461","17","74","16","73","1","1","8","True","8"
"Init_Reuse_0.9_Mut_4","flutils.codecs.raw_utf8_escape","1615366588653448749","517","121686505399","0.782608695652174","10","62","6","52","4","10","3","True","11"
"Init_Reuse_0.9_Mut_8","flutils.strutils","1615367041932050775","195","121562130885","0.8181818181818182","7","77","4","39","3","38","1","True","7"
"Init_Reuse_0.3_Mut_0","flutils.strutils","1615365762540726536","178","122054356920","0.8181818181818182","10","128","4","44","6","84","1","True","7"
"Init_Reuse_0.9_Mut_8","flutils.moduleutils","1615367040068565694","207","121803893189","0.2426470588235294","11","40","11","40","0","0","","False",""
"Init_Reuse_0.7_Mut_4","flutils.codecs.raw_utf8_escape","1615366466173591721","387","121611642886","0.7391304347826086","9","53","6","31","3","22","3","True","11"
"Init_Reuse_0.0_Mut_0","flutils.setuputils.cmd","1615365706849052997","278","121892032666","0.058823529411764705","6","7","6","7","0","0","","",""
"Init_Reuse_0.3_Mut_8","flutils.setuputils.cfg","1615366671108032625","508","121289794336","0.03773584905660377","3","12","3","12","0","0","5","True","16"
"Init_Reuse_0.5_Mut_0","flutils.objutils","1615365899821408847","325","123295347925","0.5454545454545454","8","56","0","0","8","56","24","True","41"
"Init_Reuse_0.7_Mut_8","flutils.namedtupleutils","1615366902896845943","392","121330282273","0.5263157894736842","7","40","2","17","5","23","1","True","11"
"Init_Reuse_0.7_Mut_0","flutils.strutils","1615366002158532683","163","121767501883","0.8181818181818182","4","82","2","24","2","58","1","True","7"
"Init_Reuse_0.7_Mut_0","flutils.namedtupleutils","1615366000168496933","240","121172744308","0.5263157894736842","6","36","5","30","1","6","1","True","11"
"Init_Reuse_0.9_Mut_8","flutils.pathutils","1615367031422754189","239","122468184493","0.5230769230769231","15","48","15","48","0","0","8","True","8"
"Init_Reuse_0.5_Mut_4","flutils.validators","1615366336622692548","293","121174024375","0.9565217391304348","9","45","9","45","0","0","7","True","9"
"Init_Reuse_0.7_Mut_8","flutils.moduleutils","1615366919930449861","161","122276435441","0.2426470588235294","12","55","12","55","0","0","","False",""
"Init_Reuse_0.9_Mut_0","flutils.objutils","1615366143365544974","356","122711772736","0.5454545454545454","8","57","0","0","8","57","24","True","41"
"Init_Reuse_0.3_Mut_4","flutils.setuputils.cfg","1615366208538329730","579","121266785204","0.03773584905660377","4","4","0","0","4","4","5","True","16"
"Init_Reuse_0.3_Mut_0","flutils.packages","1615365762540482247","335","121612549440","0.07142857142857142","3","8","3","8","0","0","","False",""
"Init_Reuse_0.9_Mut_8","flutils.packages","1615367040068935872","343","121691910863","0.07142857142857142","4","9","4","9","0","0","","False",""
"Init_Reuse_0.0_Mut_0","flutils.packages","1615365703327824512","408","122266792407","0.07142857142857142","3","5","3","5","0","0","","",""
"Init_Reuse_0.5_Mut_4","flutils.strutils","1615366350698607558","116","123183618883","0.8181818181818182","4","122","0","0","4","122","1","True","7"
"Init_Reuse_0.3_Mut_8","flutils.packages","1615366713308749179","400","123579435203","0.07142857142857142","6","13","6","13","0","0","","False",""
"Init_Reuse_0.9_Mut_8","flutils.setuputils.cfg","1615367043100638350","792","121146335997","0.03773584905660377","8","15","8","15","0","0","5","True","16"
"Init_Reuse_0.7_Mut_4","flutils.moduleutils","1615366451012682214","169","122136424899","0.2426470588235294","11","36","11","36","0","0","","False",""
"Init_Reuse_0.0_Mut_0","flutils.decorators","1615365703329342124","232","121880824324","0.7","8","60","6","41","2","19","","",""
