"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.9_Mut_8","mimesis.providers.clothing","1615375841815675371","0","2976370222","1.0","10","84","1","17","9","67","7","True","10"
"Init_Reuse_0.3_Mut_8","mimesis.providers.numbers","1615375519944657020","6","212373300810","0.9565217391304348","10","145","9","132","1","13","13","True","22"
"Init_Reuse_0.7_Mut_8","mimesis.builtins.nl","1615375714036722910","268","121766451383","0.9230769230769231","9","86","0","0","9","86","2","True","4"
"Init_Reuse_0.5_Mut_4","mimesis.builtins.de","1615375144925618674","0","6512805085","1.0","9","55","0","0","9","55","14","True","14"
"Init_Reuse_0.0_Mut_0","mimesis.providers.science","1615374459205672304","0","9490067544","1.0","10","168","1","4","9","164","","",""
"Init_Reuse_0.5_Mut_0","mimesis.providers.choice","1615374707298490798","188","122162538915","0.9032258064516129","8","65","8","65","0","0","6","True","10"
"Init_Reuse_0.5_Mut_0","mimesis.builtins.base","1615374713823774124","0","9837976348","1.0","6","66","0","0","6","66","5","True","13"
"Init_Reuse_0.5_Mut_0","mimesis.decorators","1615374707282712781","183","122464063214","0.14285714285714285","10","154","0","0","10","154","14","True","14"
"Init_Reuse_0.3_Mut_8","mimesis.providers.person","1615375517687473920","93","125251835874","0.8875","16","196","12","162","4","34","34","True","68"
"Init_Reuse_0.9_Mut_8","mimesis.providers.numbers","1615375842076964269","17","21750039179","1.0","9","111","5","75","4","36","13","True","22"
"Init_Reuse_0.5_Mut_4","mimesis.providers.clothing","1615375140036181686","0","4722492639","1.0","6","58","4","43","2","15","7","True","10"
"Init_Reuse_0.7_Mut_8","mimesis.providers.business","1615375714785797141","0","4216506338","1.0","9","60","1","11","8","49","13","True","22"
"Init_Reuse_0.3_Mut_0","mimesis.enums","1615374552162806690","0","8460652947","1.0","6","6","6","6","0","0","","False",""
