"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.3_Mut_4","pypara.commons.errors","1615368056016020616","292","121183603279","0.2857142857142857","3","33","0","0","3","33","","False",""
"Init_Reuse_0.9_Mut_4","pypara.commons.numbers","1615368380359441951","0","6994983142","1.0","10","116","8","91","2","25","","False",""
"Init_Reuse_0.7_Mut_8","pypara.exchange","1615368756055013164","149","121780111698","0.21739130434782608","10","29","10","29","0","0","","False",""
"Init_Reuse_0.5_Mut_0","pypara.monetary","1615367729430337871","178","122604014789","0.23355263157894737","9","140","9","140","0","0","18","True","19"
"Init_Reuse_0.9_Mut_4","pypara.exchange","1615368378207750813","264","123055685333","0.21739130434782608","5","27","5","27","0","0","","False",""
"Init_Reuse_0.7_Mut_8","pypara.commons.errors","1615368780097500723","138","122285153918","0.2857142857142857","5","147","0","0","5","147","","False",""
"Init_Reuse_0.5_Mut_8","pypara.monetary","1615368633165595435","120","124424429108","0.20723684210526316","16","197","15","173","1","24","18","True","19"
"Init_Reuse_0.3_Mut_0","pypara.exchange","1615367610097261896","207","123393214354","0.21739130434782608","7","22","7","22","0","0","","False",""
"Init_Reuse_0.3_Mut_0","pypara.commons.errors","1615367613639535919","213","122385531991","0.2857142857142857","5","75","0","0","5","75","","False",""
"Init_Reuse_0.7_Mut_4","pypara.exchange","1615368298124596589","291","121187291948","0.21739130434782608","4","18","4","18","0","0","","False",""
"Init_Reuse_0.7_Mut_0","pypara.dcc","1615367833889075228","121","122343209733","0.192090395480226","12","50","12","50","0","0","","False",""
"Init_Reuse_0.9_Mut_8","pypara.commons.numbers","1615368870264283111","0","6095555234","1.0","3","56","2","17","1","39","","False",""
"Init_Reuse_0.7_Mut_0","pypara.monetary","1615367852334293432","216","123457865158","0.24342105263157895","9","135","7","86","2","49","18","True","19"
"Init_Reuse_0.9_Mut_8","pypara.exchange","1615368881754018553","255","121023772873","0.21739130434782608","4","15","4","15","0","0","","False",""
"Init_Reuse_0.3_Mut_4","pypara.dcc","1615368055672192490","139","122250958334","0.2033898305084746","13","50","13","50","0","0","","False",""
"Init_Reuse_0.3_Mut_8","pypara.exchange","1615368526973314395","321","122058742509","0.21739130434782608","1","7","1","7","0","0","","False",""
"Init_Reuse_0.5_Mut_8","pypara.commons.errors","1615368628721094241","135","122606361004","0.2857142857142857","10","243","0","0","10","243","","False",""
"Init_Reuse_0.7_Mut_4","pypara.commons.numbers","1615368308997962945","0","8339825289","1.0","10","101","8","79","2","22","","False",""
"Init_Reuse_0.0_Mut_0","pypara.dcc","1615367492375839813","157","121609898307","0.2033898305084746","11","48","11","48","0","0","","",""
"Init_Reuse_0.0_Mut_0","pypara.exchange","1615367492222355154","250","121541313373","0.21739130434782608","5","21","4","8","1","13","","",""
"Init_Reuse_0.5_Mut_8","pypara.commons.numbers","1615368633629515060","0","6820089312","1.0","6","76","2","14","4","62","","False",""
"Init_Reuse_0.5_Mut_0","pypara.commons.numbers","1615367729430245101","0","7193863071","1.0","2","33","1","9","1","24","","False",""
"Init_Reuse_0.5_Mut_0","pypara.exchange","1615367722134858264","236","121529228889","0.21739130434782608","8","26","8","26","0","0","","False",""
"Init_Reuse_0.7_Mut_8","pypara.dcc","1615368755114505123","135","121864181426","0.192090395480226","10","35","10","35","0","0","","False",""
"Init_Reuse_0.9_Mut_4","pypara.monetary","1615368380359592885","207","122638022989","0.24671052631578946","15","161","14","135","1","26","18","True","19"
"Init_Reuse_0.5_Mut_4","pypara.commons.errors","1615368176042635310","227","122142459112","0.2857142857142857","4","73","0","0","4","73","","False",""
"Init_Reuse_0.3_Mut_8","pypara.dcc","1615368526208714096","122","123366807564","0.2033898305084746","13","67","12","63","1","4","","False",""
