"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.0_Mut_0","string_utils.validation","1615365712559311625","99","122779024960","0.75","17","350","6","97","11","253","","",""
"Init_Reuse_0.3_Mut_0","string_utils.errors","1615365765169974069","0","9735561671","1.0","1","5","0","0","1","5","","False",""
"Init_Reuse_0.5_Mut_8","string_utils.validation","1615366827291662766","72","125076942779","0.75","20","463","9","125","11","338","","False",""
"Init_Reuse_0.5_Mut_4","string_utils.errors","1615366329869741587","0","11125934628","1.0","10","277","0","0","10","277","","False",""
"Init_Reuse_0.0_Mut_0","string_utils.manipulation","1615365711911272973","122","121934082191","0.8473282442748091","24","183","23","161","1","22","","",""
"Init_Reuse_0.5_Mut_8","string_utils.manipulation","1615366827170212290","135","122303201379","0.8244274809160306","24","166","24","166","0","0","","False",""
"Init_Reuse_0.7_Mut_0","string_utils.errors","1615365993998358326","0","10046938992","1.0","4","49","0","0","4","49","","False",""
"Init_Reuse_0.7_Mut_4","string_utils.errors","1615366453571977108","0","9810508604","1.0","9","175","0","0","9","175","","False",""
"Init_Reuse_0.7_Mut_0","string_utils.manipulation","1615365993976220067","132","122425663301","0.8702290076335878","24","188","23","183","1","5","","False",""
"Init_Reuse_0.7_Mut_8","string_utils.errors","1615366921868759815","0","11771179309","1.0","5","106","0","0","5","106","","False",""
"Init_Reuse_0.9_Mut_8","string_utils.validation","1615367036058589499","87","124319293244","0.75","15","393","7","124","8","269","","False",""
"Init_Reuse_0.3_Mut_4","string_utils.generation","1615366257703505192","182","123070515106","0.9047619047619048","11","56","11","56","0","0","","False",""
"Init_Reuse_0.5_Mut_0","string_utils.errors","1615365899097375818","0","10912871431","1.0","1","31","0","0","1","31","","False",""
"Init_Reuse_0.3_Mut_4","string_utils.errors","1615366261735246164","0","11204917082","1.0","3","100","0","0","3","100","","False",""
"Init_Reuse_0.3_Mut_8","string_utils.generation","1615366693403390876","192","121297165040","0.9047619047619048","11","76","10","70","1","6","","False",""
"Init_Reuse_0.9_Mut_8","string_utils.generation","1615367035962814709","235","121773172374","0.9047619047619048","11","75","11","75","0","0","","False",""
"Init_Reuse_0.5_Mut_8","string_utils.generation","1615366824742097592","214","121644465234","0.9047619047619048","12","65","12","65","0","0","","False",""
"Init_Reuse_0.7_Mut_8","string_utils.validation","1615366920501044399","80","124854003672","0.7361111111111112","17","416","6","105","11","311","","False",""
"Init_Reuse_0.7_Mut_4","string_utils.validation","1615366449655909349","73","123675971101","0.7291666666666666","17","413","6","69","11","344","","False",""
"Init_Reuse_0.7_Mut_0","string_utils.validation","1615366027533488161","88","124275226395","0.7430555555555556","20","412","8","112","12","300","","False",""
"Init_Reuse_0.7_Mut_8","string_utils.generation","1615366921158245597","175","121434943353","0.9047619047619048","13","77","13","77","0","0","","False",""
"Init_Reuse_0.0_Mut_0","string_utils.errors","1615365712559451154","0","10681904691","1.0","10","194","0","0","10","194","","",""
"Init_Reuse_0.3_Mut_0","string_utils.generation","1615365765169587973","171","121643145232","0.9047619047619048","12","76","11","70","1","6","","False",""
"Init_Reuse_0.5_Mut_8","string_utils.errors","1615366824393290244","0","11606170352","1.0","10","212","0","0","10","212","","False",""
"Init_Reuse_0.5_Mut_4","string_utils.manipulation","1615366336709246787","131","121990290422","0.7938931297709924","24","194","23","176","1","18","","False",""
"Init_Reuse_0.3_Mut_0","string_utils.validation","1615365765431873881","88","124090459474","0.7291666666666666","17","350","8","161","9","189","","False",""
"Init_Reuse_0.9_Mut_4","string_utils.generation","1615366574781242584","179","121442270061","0.9047619047619048","13","70","12","61","1","9","","False",""
"Init_Reuse_0.9_Mut_0","string_utils.generation","1615366120962609083","215","121818647470","0.9047619047619048","11","66","11","66","0","0","","False",""
