"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength","CollectedTestCases","SuitableTestModule","FoundTestCases"
"Init_Reuse_0.9_Mut_8","pytutils.files","1615372316248192469","201","121256122991","0.3448275862068966","8","110","7","103","1","7","","False",""
"Init_Reuse_0.5_Mut_8","pytutils.lazy.lazy_regex","1615372069256006166","186","121605097165","0.6041666666666666","9","84","9","84","0","0","","False",""
"Init_Reuse_0.7_Mut_4","pytutils.timers","1615371773435028767","0","7285305054","1.0","9","119","6","76","3","43","","False",""
"Init_Reuse_0.3_Mut_8","pytutils.urls","1615371957986181053","241","123869601196","0.75","9","42","9","42","0","0","","False",""
"Init_Reuse_0.5_Mut_0","pytutils.meth","1615371143995178035","0","5284003072","1.0","2","12","2","12","0","0","","False",""
"Init_Reuse_0.7_Mut_0","pytutils.meth","1615371262838573934","0","5084809440","1.0","5","28","5","28","0","0","","False",""
"Init_Reuse_0.9_Mut_0","pytutils.pretty","1615371373277190923","205","121148552637","0.6470588235294118","4","25","4","25","0","0","","False",""
"Init_Reuse_0.7_Mut_8","pytutils.memo","1615372203789714017","208","123159270291","0.25","8","42","8","42","0","0","","False",""
"Init_Reuse_0.7_Mut_0","pytutils.env","1615371262579532437","262","121352999390","0.5","10","68","9","61","1","7","","False",""
"Init_Reuse_0.9_Mut_0","pytutils.lazy.lazy_import","1615371374626436876","137","122193149390","0.43103448275862066","12","124","12","124","0","0","","False",""
"Init_Reuse_0.7_Mut_8","pytutils.lazy.lazy_regex","1615372227293311153","250","121573990061","0.6041666666666666","8","74","8","74","0","0","","False",""
"Init_Reuse_0.3_Mut_4","pytutils.timers","1615371516423791172","0","8211930128","1.0","10","111","6","77","4","34","","False",""
"Init_Reuse_0.9_Mut_8","pytutils.pretty","1615372341975503106","286","124326601938","0.6470588235294118","7","34","7","34","0","0","","False",""
"Init_Reuse_0.3_Mut_0","pytutils.python","1615371058856201079","258","121658178160","0.3","4","46","0","0","4","46","","False",""
"Init_Reuse_0.9_Mut_8","pytutils.iters","1615372309848038609","241","121056489144","0.26666666666666666","6","61","5","58","1","3","","False",""
"Init_Reuse_0.5_Mut_8","pytutils.memo","1615372077039627466","214","123018870879","0.25","7","40","7","40","0","0","","False",""
"Init_Reuse_0.9_Mut_0","pytutils.log","1615371381235162099","181","122312083965","0.7647058823529411","10","51","10","51","0","0","","False",""
"Init_Reuse_0.3_Mut_8","pytutils.python","1615371957754891340","179","124576860943","0.3","4","88","0","0","4","88","","False",""
"Init_Reuse_0.7_Mut_8","pytutils.env","1615372168200905909","220","121481205238","0.5","5","41","5","41","0","0","","False",""
"Init_Reuse_0.5_Mut_0","pytutils.path","1615371143867557820","390","120916631649","0.25","3","27","0","0","3","27","","False",""
"Init_Reuse_0.3_Mut_0","pytutils.env","1615371059553555444","235","121201032542","0.5","6","58","5","54","1","4","","False",""
"Init_Reuse_0.9_Mut_4","pytutils.rand","1615371858496508508","0","4925723695","1.0","7","23","7","23","0","0","","False",""
"Init_Reuse_0.7_Mut_8","pytutils.props","1615372194843205960","273","122076001752","0.6470588235294118","6","42","6","42","0","0","","False",""
"Init_Reuse_0.5_Mut_4","pytutils.sets","1615371619664966503","273","121088355292","0.6666666666666666","3","23","3","23","0","0","","False",""
"Init_Reuse_0.9_Mut_0","pytutils.timers","1615371375301800888","0","6836765604","1.0","6","74","5","46","1","28","","False",""
"Init_Reuse_0.9_Mut_4","pytutils.meth","1615371827062390446","0","4909077587","1.0","2","8","2","8","0","0","","False",""
"Init_Reuse_0.7_Mut_8","pytutils.excs","1615372193757777362","187","123111912546","0.16666666666666666","9","157","0","0","9","157","","False",""
"Init_Reuse_0.5_Mut_4","pytutils.lazy.simple_import","1615371606774268822","189","121656858216","0.6","4","115","0","0","4","115","","False",""
"Init_Reuse_0.9_Mut_0","pytutils.pythree","1615371388667136719","216","123653591909","0.42857142857142855","9","58","9","58","0","0","","False",""
"Init_Reuse_0.3_Mut_0","pytutils.lazy.lazy_regex","1615371051194655033","186","121496372935","0.6041666666666666","10","88","8","75","2","13","","False",""
"Init_Reuse_0.7_Mut_0","pytutils.log","1615371260590040488","182","121395532881","0.7941176470588235","10","67","10","67","0","0","","False",""
"Init_Reuse_0.3_Mut_0","pytutils.memo","1615371041643580921","255","121370456416","0.25","10","47","9","45","1","2","","False",""
"Init_Reuse_0.7_Mut_0","pytutils.sets","1615371258004350954","173","121573271868","0.6666666666666666","8","74","8","74","0","0","","False",""
"Init_Reuse_0.5_Mut_8","pytutils.files","1615372103015438216","187","121570103369","0.2413793103448276","5","73","4","60","1","13","","False",""
"Init_Reuse_0.0_Mut_0","pytutils.log","1615370956247057384","190","121865962599","0.7941176470588235","7","57","7","57","0","0","","",""
"Init_Reuse_0.7_Mut_0","pytutils.pythree","1615371321336770733","273","121548061957","0.42857142857142855","5","29","5","29","0","0","","False",""
"Init_Reuse_0.7_Mut_4","pytutils.env","1615371758564232270","343","121918280534","0.5","8","53","4","30","4","23","","False",""
"Init_Reuse_0.3_Mut_4","pytutils.mappings","1615371533228223026","116","123256757093","0.664","19","269","18","248","1","21","","False",""
"Init_Reuse_0.0_Mut_0","pytutils.env","1615370949234175167","350","121648295329","0.5","4","36","3","28","1","8","","",""
"Init_Reuse_0.7_Mut_4","pytutils.files","1615371715491021227","292","121034406654","0.2413793103448276","2","26","2","26","0","0","","False",""
"Init_Reuse_0.5_Mut_4","pytutils.meth","1615371648923714486","0","4794215029","1.0","9","48","9","48","0","0","","False",""
"Init_Reuse_0.3_Mut_8","pytutils.excs","1615371968869235785","239","121158447461","0.16666666666666666","1","26","0","0","1","26","","False",""
"Init_Reuse_0.9_Mut_4","pytutils.lazy.simple_import","1615371829607382416","212","121392752813","0.6","7","115","0","0","7","115","","False",""
"Init_Reuse_0.5_Mut_0","pytutils.pythree","1615371145693519098","279","121133417445","0.42857142857142855","7","35","7","35","0","0","","False",""
"Init_Reuse_0.3_Mut_4","pytutils.env","1615371539038050931","230","121524363123","0.5","8","76","6","67","2","9","","False",""
"Init_Reuse_0.3_Mut_0","pytutils.timers","1615371071283910359","0","5605372910","1.0","4","34","2","25","2","9","","False",""
"Init_Reuse_0.5_Mut_8","pytutils.urls","1615372100480156618","304","122440137939","0.75","3","18","3","18","0","0","","False",""
"Init_Reuse_0.3_Mut_0","pytutils.lazy.simple_import","1615371060564600488","180","121699234463","0.6","10","204","0","0","10","204","","False",""
"Init_Reuse_0.5_Mut_4","pytutils.files","1615371649736468290","205","121109941188","0.3103448275862069","7","91","6","86","1","5","","False",""
"Init_Reuse_0.3_Mut_8","pytutils.lazy.simple_import","1615371943778676460","322","121129636696","0.6","1","24","0","0","1","24","","False",""
"Init_Reuse_0.9_Mut_4","pytutils.pretty","1615371839237941574","211","121468548145","0.6470588235294118","7","44","7","44","0","0","","False",""
"Init_Reuse_0.3_Mut_4","pytutils.python","1615371467469591891","116","123074210971","0.3","7","231","0","0","7","231","","False",""
"Init_Reuse_0.5_Mut_0","pytutils.excs","1615371136890101244","186","121743909483","0.16666666666666666","6","130","0","0","6","130","","False",""
"Init_Reuse_0.9_Mut_8","pytutils.rand","1615372310072988190","0","4154423822","1.0","2","5","2","5","0","0","","False",""
"Init_Reuse_0.3_Mut_4","pytutils.lazy.lazy_import","1615371525926558261","149","123339842790","0.41379310344827586","13","101","13","101","0","0","","False",""
"Init_Reuse_0.5_Mut_0","pytutils.memo","1615371146799860301","210","121241655032","0.25","8","45","8","45","0","0","","False",""
"Init_Reuse_0.3_Mut_8","pytutils.trees","1615371956786090144","230","121131625547","0.75","7","68","7","68","0","0","","False",""
"Init_Reuse_0.5_Mut_8","pytutils.timers","1615372085179030241","0","6091699205","1.0","9","150","5","91","4","59","","False",""
"Init_Reuse_0.5_Mut_0","pytutils.env","1615371143982212523","299","121075697235","0.5","5","41","4","30","1","11","","False",""
"Init_Reuse_0.3_Mut_4","pytutils.lazy.lazy_regex","1615371490085826195","213","121789218064","0.6041666666666666","10","73","9","68","1","5","","False",""
"Init_Reuse_0.7_Mut_8","pytutils.path","1615372168388993573","162","121727669322","0.25","9","193","0","0","9","193","","False",""
"Init_Reuse_0.3_Mut_8","pytutils.files","1615371947373434221","146","121381623216","0.3448275862068966","10","162","9","138","1","24","","False",""
"Init_Reuse_0.9_Mut_0","pytutils.iters","1615371400725093943","207","121457660962","0.26666666666666666","10","123","6","64","4","59","","False",""
"Init_Reuse_0.9_Mut_8","pytutils.sets","1615372280738256293","143","121574854475","0.6666666666666666","11","96","11","96","0","0","","False",""
"Init_Reuse_0.7_Mut_8","pytutils.meth","1615372165925767233","0","5295051900","1.0","6","33","6","33","0","0","","False",""
"Init_Reuse_0.9_Mut_0","pytutils.rand","1615371375004752118","0","4148162330","1.0","9","23","9","23","0","0","","False",""
"Init_Reuse_0.7_Mut_4","pytutils.excs","1615371747952974903","162","123883603700","0.16666666666666666","10","246","0","0","10","246","","False",""
"Init_Reuse_0.5_Mut_8","pytutils.lazy.simple_import","1615372074346434992","203","122066972391","0.6","4","89","0","0","4","89","","False",""
"Init_Reuse_0.0_Mut_0","pytutils.pythree","1615370952431531254","284","121167982658","0.42857142857142855","7","38","7","38","0","0","","",""
"Init_Reuse_0.9_Mut_8","pytutils.lazy.lazy_import","1615372275644433658","140","122285204116","0.43103448275862066","14","109","14","109","0","0","","False",""
